nom,structure_porteuse,description,type_lieu,statut,nature_juridique,siret,adresse_brut,adresse_numero,adresse_rue,adresse_code_postal,adresse_code_insee,adresse_commune,adresse_departement,adresse_region,latitude,longitude,itinerant,en_ligne,contact_telephone,contact_telephone_details,contact_email,contact_web,contact_facebook,horaires_ouverture_brut,horaires_ouverture_osm,public_cible,modalites_acces,modalites_accompagnement,tarifs,accessibilite,services,labels
Moulins Habitat,Moulins Habitat,,,,Groupement d'intérêt public (GIP),,5-7 Impasse Dieudonné Costes- Maisons des Associations 3000 MOULINS,7,Impasse Dieudonné Costes,03000,03190,Moulins,Allier,Auvergne-Rhône-Alpes,46.543034,3.337973,,Non,0470481653,,sreyne@moulinshabitat.fr,www.moulinshabitat.cyber-base.org,,,,,,,,,,
"AGEDI (Agence de GEstion et de Développement 
Informatique)",,,,,,,Mairie 15700 BRAGEAC,,Brageac,15700,15024,Brageac,Cantal,Auvergne-Rhône-Alpes,45.2035,2.2666,,Non,0471690024,,agedi.15@laposte.net,www.agedi.fr/,,,,,,,,,,
Point Cybercantal de Salers,,,,,,,Rue du couvent 15140 SALERS,,Rue du Couvent,15140,15219,Salers,Cantal,Auvergne-Rhône-Alpes,45.137927,2.494394,,Non,0471407233,,mairie.salers@wanadoo.fr,,,,,,,,,,,
Point Information Jeunesse,,,,,Association,,"Maison de Brunelles, 12 Avenue Charles de Gaulle 43120 MONISTROL SUR LOIRE",12,Avenue Charles de Gaulle,43120,43137,Monistrol-sur-Loire,Haute-Loire,Auvergne-Rhône-Alpes,45.293314,4.175301,,Non,0471754707,,pij1.acija@wanadoo.fr,,,,,,,,,,,
Ecole Mercoeur,Ville de Clermont-Ferrand,,,,Association,,98 Rue du Var 63000 CLERMONT-FERRAND,,Rue du Guery,63000,63113,Clermont-Ferrand,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.760896,3.077298,,Non,0473246662,,msidiammi@ville-clermont-ferrand.fr,www.ville-clermont-ferrand.fr,,,,,,,,,,
Médiathèque Jaude,Ville de Clermont-Ferrand,,,,Association,,9 Place Louis Aragon 63000 CLERMONT-FERRAND,9,Place Louis Aragon,63000,63113,Clermont-Ferrand,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.774916,3.084176,,Non,0473293250,,msidiammi@ville-clermont-ferrand.fr,www.ville-clermont-ferrand.fr,,,,,,,,,,
EPN (Espace Public Numérique) de Romagnat,Ville de Romagnat,,,,Collectivité locale ou territoriale,,"Centre Social - 3, Rue des Fours à Chaux 63540 ROMAGNAT",3,Rue des Fours à Chaux,63540,63307,Romagnat,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.727276,3.101217,,Non,0473626300,,epn.romagnat@gmail.com,http://www.epnromagnat.jimdo.com/,,,,,,,,,,
Centre Multimédia Intercommunal,Communauté de communes Bocage Sud,,,,Collectivité locale ou territoriale,,1 Place du 8 mai 3240 LE MONTET,1,Place du 8 Mai 1945,03240,03183,Le Montet,Allier,Auvergne-Rhône-Alpes,46.409044,3.05668,,Non,0470473776,,comcom-bocagesud@wanadoo.fr,www.bocagesud.fr,,,,,,,,,,
Cyberc@ntal Allanche,Communauté de Communes du Cézallier,,,,Établissement public à caractère industriel et commercial (EPIC),,Place du Cézallier 15160 ALLANCHE,,Place du Cézallier,15160,15001,Allanche,Cantal,Auvergne-Rhône-Alpes,45.230276,2.934749,,Non,0471786833,,olivier@cezallier.org,www.cezallier.org,,,,,,,,,,
PIJ (Point Infos Jeunes),,,,,Collectivité locale ou territoriale,,Rue du 139ème Régiment d'Infanterie 15000 AURILLAC,,Rue du 139e Rgt d'Infanterie,15000,15014,Aurillac,Cantal,Auvergne-Rhône-Alpes,44.924339,2.443765,,Non,0471468620,,pij@caba.fr,,,,,,,,,,,
Espace multimédia,,,,,,,Route de Bagnac 15600 MAURS,,Route de Bagnac,15600,15122,Maurs,Cantal,Auvergne-Rhône-Alpes,44.70836,2.195898,,Non,0471497858,,espace.multimedia.maurs@wanadoo.fr,,,,,,,,,,,
Point Cybercantal Ytrac,,,,,,,Ecole d'Ytrac 2 Impasse Jean de la Fontaine 15130 YTRAC,2,Rue Jean de la Fontaine,15130,15267,Ytrac,Cantal,Auvergne-Rhône-Alpes,44.914979,2.362992,,Non,0471477252,,mairie-ytrac@wanadoo.fr,,,,,,,,,,,
EPN (Espace Public Numérique) Aulnat,,,,,,,Rue Curie 63510 AULNAT,,Rue Curie,63510,63019,Aulnat,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.793806,3.164859,,Non,,,,,,,,,,,,,,
Ecole Jean Zay,Ville de Clermont-Ferrand,,,,Association,,71 Avenue du Limousin 63000 CLERMONT-FERRAND,71,Avenue du Limousin,63100,63113,Clermont-Ferrand,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.789332,3.062078,,Non,0473375565,,ecole-elem.j-zay.clermont.63@ac-clermont.fr,www.ville-clermont-ferrand.fr,,,,,,,,,,
Salle Multimédia intercommunale,Communauté de Communes Coeur de Combrailles,,,,Établissement public à caractère industriel et commercial (EPIC),,Route de Pionsat 63390 ESPINASSE,,Le Moulin du Pont,63390,63152,Espinasse,Puy-de-Dôme,Auvergne-Rhône-Alpes,46.024275,2.745359,,Non,0473858451,,service.internet.espinasse@wanadoo.fr,,,,,,,,,,,
Médiathèque Intercommunale,Syndicat Intercommunal d'Equipement Saint-Eloy - Youx - Montaigut,,,,Collectivité locale ou territoriale,,Rue du Puits du Manoir 63700 SAINT ELOY LES MINES,,Rue du Puits du Manoir,63700,63338,Saint-Éloy-les-Mines,Puy-de-Dôme,Auvergne-Rhône-Alpes,46.165706,2.833098,,Non,0473850505,,mediatek63700@wanadoo.fr,,,,,,,,,,,
Centre Social Souvigny,,,,,,,Route de Montluçon 3210 SOUVIGNY,,Route de Besson,03210,03275,Souvigny,Allier,Auvergne-Rhône-Alpes,46.534182,3.195788,,Non,0470436469,,centre.social.souvigny@wanadoo.fr,,,,,,,,,,,
Salle Multimédia Médiathèque de Chaudes Aigues,,,,,,,7 Rue Saint Jacques 15110 CHAUDES AIGUES,7,Rue Saint-jacques,15110,15045,Chaudes-Aigues,Cantal,Auvergne-Rhône-Alpes,44.852204,3.003035,,Non,0471235585,,mediatheque.chaudes-aigues@wanadoo.fr,,,,,,,,,,,
Point Cybercantal de Reilhac,,,,,,,"Ecole publique, le Bourg 15250 REILHAC",,Place de l'Ecole Publique,07120,07115,Labeaume,Ardèche,Auvergne-Rhône-Alpes,44.448736,4.306518,,Non,0471630050,,,,,,,,,,,,,
Point Cyb du PIJ de Saint-Flour,,,,,,,"OMJS, Avenue du Docteur Mallet 15100 SAINT FLOUR",,Avenue du Docteur Mallet,15100,15187,Saint-Flour,Cantal,Auvergne-Rhône-Alpes,45.033019,3.08663,,Non,0471601600,,omjs.pij.saint-flour@wanadoo.fr,,,,,,,,,,,
Club Informatique de Rauret,,,,,,,Mairie de Rauret 43340 RAURET,,Rauret Bas,43340,43160,Rauret,Haute-Loire,Auvergne-Rhône-Alpes,44.816403,3.786503,,Non,0471082451,,mairie@rauret.fr,www.rauret.fr/,,,,,,,,,,
Centre Anatole France,Ville de Clermont-Ferrand,,,,Association,,"154, Rue Anatole France 63000 CLERMONT-FERRAND",154,Rue Anatole France,63000,63113,Clermont-Ferrand,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.778717,3.111632,,Non,0473905460,,mq.anatole-france@ville-clermont-ferrand.fr,www.ville-clermont-ferrand.fr,,,,,,,,,,
Maison de quartier Fontaine du Bac,Ville de Clermont-Ferrand,,,,Association,,"18 ter, Rue de la Fontaine-du-Bac 63000 CLERMONT-FERRAND",18 ter,Rue de la Fontaine du Bac,63000,63113,Clermont-Ferrand,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.764425,3.121388,,Non,0473448733,,mq.fontaine-du-bac@ville-clermont-ferrand.fr,www.ville-clermont-ferrand.fr,,,,,,,,,,
