Nom;Descriptif;Type de pratique;Accompagnement;Accès;Usage spécifique;Public;Précisions sur le public;Tarif;Equipements et matériels;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;Précisions sur les horaires;Adresse;Code postal;Ville;Téléphone 1;Téléphone 2;Mail;Web;Accès transports en commun;Label;Géolocalisation
Maison de l'emploi - Site Malakoff;La Maison de l'emploi de la métropole nantaise propose aux demandeurs d'emploi, aux salariés, aux entreprises et aux créateurs potentiels, l’accès à des cyberbases animées par des professionnels.  Des initiations à l'outil informatique sont organisées régulièrement pour vous aider dans votre recherche d'emploi : manipuler la souris et apprendre le clavier, prendre en main un ordinateur, réaliser son CV avec   un logiciel de traitement de texte, créer et gérer sa boîte e-mail, rechercher un emploi avec Internet...;- Accéder à Internet (pour la recherche d’emploi)- Être initié aux outils numériques;- Assistance et conseil sur place- Atelier d'initiation à l’outil informatique et ateliers liés à la recherche d'emploi.;libre;la recherche d'emploi, de formation et de création d'entreprise;pour tous;particulièrement les demandeurs d'emploi, les salariés et les créateurs d'entreprise;gratuit;ordinateurs avec accès Internet et bureautique, photocopieur, scanner, imprimante;11h00-12h30 / 13h30-16h30;11h00-12h30 / 13h30-16h30;11h00-12h30 / 13h30-16h30;13h30-16h30;11h00-12h30 / 13h30-16h30;;;;5 rue de l'Autriche;44000;Nantes;02 28 44 33 80;;espace.malakoff@me-metropole-nantaise.org;http://www.me-metropole-nantaise.org/;Chronobus C3 (arrêt Ecosse);Label  NetPublic;47.216169,-1.525014
Médiagraph;L’association Médiagraph propose d’initier et de former au numérique tous les publics, même ceux qui s'en sentent les plus éloignés. Médiagraph considère que les outils et usages numériques sont indispensables à la lutte contre les inégalités (accès aux savoirs, à la culture, aux droits, à la citoyenneté, à l’emploi) mais aussi un levier essentiel pour renforcer le partage et la transmission des connaissances, le rapprochement entre les générations et les capacités d’expression de chacun. L'association accompagne aussi toute structure publique ou privée (collectivités, associations, entrepreneurs individuels…).;- Accéder à Internet - Être initié aux outils et usages numériques- Être sensibilisé aux risques d'Internet- Être accompagné dans mes démarches administratives- Être accompagné dans son projet personnel, professionnel, associatif;- Atelier séniors : prise en main, perfectionnement, découverte- Formations professionnelles et associatives (salariés, bénévoles associatifs, porteurs de projets...) -Atelier scolaire, atelier intergénérationnel…- Assistance et conseil sur place;sur inscription;renseignements et inscriptions les lundis matin de 9h00 à 12h30 et vendredis après-midi de 14h00 à 17h00 ou sur rendez-vous;pour tous;;payant (adhésion annuelle : de 31 à 90€) + prix des ateliers;ordinateurs équipés d’accès Internet, de logiciels bureautiques et de logiciel de retouche de photo, scanner, imprimante, Wifi;;;;;;;;Horaires variables en fonction des ateliers;1 rue d'Auvours;44000;Nantes;02 40 12 19 12;;contact@assomediagraph.fr;http://www.assomediagraph.fr/;Tramway L3 (arrêt Viarme Talensac);Label  NetPublic;47.221385,-1.563518
Maison de l'emploi - Site Dervallières;La Maison de l'emploi de la métropole nantaise propose aux demandeurs d'emploi, aux salariés, aux entreprises et aux créateurs potentiels, l’accès à des cyberbases animées par des professionnels.  Des initiations à l'outil informatique sont organisées régulièrement pour vous aider dans votre recherche d'emploi : manipuler la souris et apprendre le clavier, prendre en main un ordinateur, réaliser son CV avec   un logiciel de traitement de texte, créer et gérer sa boîte e-mail, rechercher un emploi avec Internet…;- Accéder à Internet (pour la recherche d’emploi)- Être initié aux outils numériques;- Assistance et conseil sur place- Atelier d'initiation à l’outil informatique et ateliers liés à la recherche d'emploi;libre;la recherche d'emploi, de formation et de création d'entreprise;pour tous;particulièrement les demandeurs d'emploi, les salariés et les créateurs d'entreprise;gratuit;ordinateurs avec accès Internet et bureautique, photocopieurs, scanner, imprimante;11h00-12h30 / 13h30-16h30;11h00-12h30 / 13h30-16h30;11h00-12h30 / 13h30-16h30;13h30-16h30;8h30-12h30 / 13h30-16h30;;;;Pôle Daniel Asseray - 8 rue Henri Matisse;44100;Nantes;02 28 03 58 00;;espace.dervallieres@me-metropole-nantaise.org;http://www.me-metropole-nantaise.org/;Chronobus C3 (arrêt Raoul Dufy) C6 (arrêt St Laurent);Label  NetPublic;47.22335,-1.596814
Toit à Moi;L’association Toit à Moi à pour objectif une réelle insertion des personnes dans la société, autant d’un point de vue économique que d’un point de vue humain. Une équipe de bénévoles s’est constituée pour aider les personnes que l’association loge et accompagne. Dans les cadre de ses mission, Toit à Moi aide également à la recherche de formation et dans la réalisation des démarches administratives, propose la création d’un blog et du soutien informatique.;- Accéder à Internet- Être initié aux outils numériques- Être accompagné dans mes démarches administratives- Être accompagné dans mon projet personnel ou professionnel;- Assistance et conseil sur place- Ateliers autour de la recherche d’emploi;sur inscription;;personnes isolées en situation de précarité;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, scanner, photocopieur, imprimante, Wifi;9h00-17h00;9h00-17h00;9h00-17h00;9h00-17h00;9h00-17h00;;;;19 rue Eugène Tessier;44000;Nantes;09 53 05 37 07;;alexandre.casseron@toitamoi.net;http://www.toitamoi.net/;Chronobus C1 (arrêt Bel Air);;47.226047,-1.557974
La Bagagerie - Martyrs Nantais (Association Saint Benoît Labre);L’association Saint Benoît Labre lutte contre l’exclusion des personnes en difficultés sociales et professionnelles et vient en aide aux personnes et familles en précarité. Dans ce cadre, l’association met à disposition des usagers de l’association des espaces informatiques dans ses centres d’hébergement. Ces lieux d’activité informatique permettent de s’initier à l’informatique, d’utiliser Internet, de créer un CV, d’échanger avec ses proches par mail, de se détendre, de se cultiver et de se former à la bureautique.;- Accès libre à Internet- Être initié aux outils informatiques- Être accompagné dans mon projet personnel ou professionnel;Assistance et conseil sur place;Adhérents et résidents à la Bagagerie;;personnes en situation de précarité;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques,Wifi;8h00-12h00 / 14h00-18h00;8h00-12h00 / 14h00-18h00;8h00-12h00 / 14h00-18h00;8h00-12h00 / 14h00-18h00;8h00-12h00 / 14h00-18h00;;;;17 boulevard des Martyrs Nantais;44200;Nantes;;;;http://asbl44.com/;Tramway L2 L3 (arrêt Wattignies);;47.20296,-1.54568
Studio 11/15;Créé par la Ville de Nantes et animé par l’Accoord, le Studio 11/15 est un espace aux loisirs et à la créativité, qui propose aux adolescents de découvrir des activités artistiques, ludiques, culturelles, sportives et multimédia. L’objectif de ses ateliers est de partager, de donner envie aux adolescents de participer, et de rendre visibles leurs initiatives. Situé au cœur du Quartier de la création, le Studio 11/15 est un lieu de croisement, de rencontres, de créativité et d’échanges.;- Pratiquer une activité ludique et éducative - Être sensibilisé aux risques d'Internet;- Ateliers : éducation aux médias- soirée d’échanges parents – ados;sur inscription;;pour les jeunes de 11 à 15 ans;;payant (adhésion annuelle : de 31 à 90€) + prix des atelier;ordinateurs équipés de logiciels de montage, plateau radio, tablettes;;;;;;;;Horaires variables en fonction des ateliers;7 boulevard Léon Bureau;44200;Nantes;02 44 76 11 07;;studio11-15@accoord.fr;https://www.nantes.fr/studio1115;Chronobus C5 (arrêt Gare de l’Etat );;47.206157,-1.563969
Atelier Partagé du Breil (Association PiNG);L’Atelier Partagé du Breil est un atelier collaboratif où chacun peut venir fabriquer, réparer, créer tous types d’objets. L’atelier est animé par l’association PiNG, acteur impliqué dans l’utilisation des logiciels libres dans une démarche de démocratisation et de pérennité des pratiques autour du numérique.;Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers d'entraide réparation- Ateliers d'entraide informatique animé par l'association Naga;libre;sous condition d’adhésion;pour tous;à partir de 18 ans;payant (adhésion annuelle : de 16 à 30€);outillage traditionnel (tournevis / perceuse…), électronique de base (fers à souder, composants…), machines à coudre, imprimante 3D, Wifi;;14h00-20h00;;;;;;;38 rue du Breil;44100;Nantes;02 40 16 86 78;;atelierpartage@pingbase.net;http://www.pingbase.net/atelier-partage-du-breil;L54 (arrêt Petit Carcouët);;47.228811,-1.58443
Médiathèque Luce Courville;Ouvertes à tous, les médiathèques municipales sont présentes dans les différents quartiers de la Ville de Nantes. Elles proposent un large catalogue de documents (livres, CD, DVD, BD, …) accessibles en ligne ainsi que de ordinateurs pour la consultation d'Internet et/ou des logiciels de bureautique.;- Accéder à Internet;- Assistance et conseil sur place- Ateliers : initiation à l'informatique, accompagnement numérique (découverte du clavier et de la souris, créer et gérer sa boite mail, …), aide aux démarches sur Internet;libre;;pour tous;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, photocopieur, imprimante, Wifi;;13h30-18h00;10h00-18h00;13h30-18h00;13h30-19h00;10h00-17h00;;;1 rue Eugène Thomas;44300;Nantes;02 40 41 53 50;;bm-nord@mairie-nantes.fr;https://bm.nantes.fr/home.html;Tramway L2, Chronobus C2 et L96 (arrêt Chêne des Anglais);;47.26168,-1.574329
Association Culturelle Musulmane Nantes Nord (ACMNN);L'Association Culturelle Musulmane Nantes Nord (ACMNN) favorise les rencontres, les échanges, l’entraide et la solidarité dans les quartiers de la ville de Nantes. Sur le numérique, ses activités s’articulent autour de l’accompagnement des usagers, notamment dans leurs démarches administratives.;- Accéder à Internet- Être initié aux outils numériques- Être accompagné dans mes démarches administratives;- Ateliers  : création-gestion de boîte email, apprendre à taper du texte, création-gestion des dossiers et fichiers- Accompagnement dans les démarches administratives;sur inscription;;pour tous;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, scanner, photocopieur, imprimante, Wifi;16h00–17h00;10h30–12h00;;10h30-12h0016h00-17h00;18h30-20h;10h30–12h00;;;3 rue Eugène Thomas;44300;Nantes;02 40 16 00 98;06 64 09 81 46;acmnn@wanadoo.fr;http://www.acmnn.fr;"Tramway L2 ; Chronobus C2 et L96 (arrêt Chêne des Anglais)";;47.263017,-1.57286
Maison de l'emploi - Site Nantes Est;La Maison de l'emploi de la métropole nantaise propose aux demandeurs d'emploi, aux salariés, aux entreprises et aux créateurs potentiels, l’accès à des cyberbases animées par des professionnels.  Des initiations à l'outil informatique sont organisées régulièrement pour vous aider dans votre recherche d'emploi : manipuler la souris et apprendre le clavier, prendre en main un ordinateur, réaliser son CV avec   un logiciel de traitement de texte, créer et gérer sa boîte e-mail, rechercher un emploi avec Internet…;- Accéder à Internet (pour la recherche d’emploi)- Être initié aux outils numériques;- Assistance et conseil sur place- Atelier d'initiation à l’outil informatique et ateliers liés à la recherche d'emploi.;libre;la recherche d'emploi, de formation et de création d'entreprise;pour tous;particulièrement les demandeurs d'emploi, les salariés et les créateurs d'entreprise;gratuit;ordinateurs avec accès Internet et bureautique, photocopieur, scanner, imprimante;10h30 à 12h30 / 13h30 à 16h30;10h30 à 12h30 / 13h30 à 16h30;8h30 à 12h30 / 13h30 à 16h30;13h30-16h30;10h30 à 12h30 / 13h30 à 16h30;;;;9 rue Augustin Fresnel;44300;Nantes;02 40 08 97 20;;espace.nantes.est@me-metropole-nantaise.org;http://www.me-metropole-nantaise.org/;Chronobus C1 (arrêt Chocolaterie) / L11 (arrêt Ménétrier);Label  NetPublic;47.24124,-1.523846
