;;;;;;;;;;;;;;;;;;;;Modalités d'accompagnement;;;;
id;Lat;Long;Etat de l'action;APTIC;typologie d'accompagnement;nom;description;type_etablissement;adresse;cp;;horaire;service;public;acces;reste;mail;telephone;site_web;Accès libre;Accès libre avec un accompagnement;Accompagnement individuel sur rendez-vous;Accompagnement en groupe sur inscription;Atelier de réparation de matériel informatique
124;43,361158;-1,399247;En cours;non;Assistance et coups de pouce;Ecrivain public numérique;Espace public numérique|Mairie |Avenue de la mairie|64250 Cambo-les-bains|Tél. 07 66 87 47 51|Mail. epn@gmail.com|**Horaires et jours d'accueil :**|Mercredi matin sur rendez-vous (9h-12h hors vacances scolaires).|**Actions proposées :**|Depuis janvier 2019 les habitants de Cambo les Bains bénéficient d’un service gratuit|« d’écrivain public numérique ».||Besoin d’aide pour remplir dossiers administratifs en ligne, répondre à un courrier ou à un courriel ?|L’écrivain public est là pour vous aider et vous conseiller dans vos démarches sur internet|(Impôts, factures, caisses de retraites, assurance maladie etc.)|Le scribe numérique peut aussi vous initier aux usages indispensables des outils|numériques.|Cet accompagnement est gratuit et confidentiel.|- Accès (WI-FI)|- Diagnostic des besoins numériques|- Assistance (faire avec)|- Médiation (apprendre à faire)|**Publics :**|Tout public|**Conditions d'accès :**|Gratuit (bénévolat)|**Renseignements et inscriptions :**|Par mail : epn@gmail.com, par téléphone : 07 66 87 47 51. Jean-Marie Marcelin;CCAS;;64250;CAMBO-LES-BAINS;Mercredi matin sur rendez-vous (9h-12h hors vacances scolaires);Depuis janvier 2019 les habitants de Cambo les Bains bénéficient d’un service gratuit|« d’écrivain public numérique ».||Besoin d’aide pour remplir dossiers administratifs en ligne, répondre à un courrier ou à un courriel ?|L’écrivain public est là pour vous aider et vous conseiller dans vos démarches sur internet|(Impôts, factures, caisses de retraites, assurance maladie etc.)|Le scribe numérique peut aussi vous initier aux usages indispensables des outils|numériques.|Cet accompagnement est gratuit et confidentiel.|- Accès (WI-FI)|- Diagnostic des besoins numériques|- Assistance (faire avec)|- Médiation (apprendre à faire)|;Tout public;**Conditions d'accès :**|Gratuit (bénévolat)|**Renseignements et inscriptions :**|Par mail : epn@gmail.com, par téléphone : 07 66 87 47 51. Jean-Marie Marcelin;;epn@gmail.com|;. 07 66 87 47 51|;;;;;;
123;43,485056;-0,775084;En cours;non;Assistance et coups de pouce;Fédération Départementale Générations Mouvement 64;"Salle Gascoin Parc n°2 |64300 ORTHEZ|Tél.09 67 01 24 38 |Mél. fdgm7@orange.fr|Site web. [[http://www.generations-mouvement.org]]|**Horaires d'ouverture""|Selon interventions|**Actions proposées :**|Assistance numérique itinérante, à la demande, dans nos locaux ou dans nos clubs, sur l'ensemble du département.|**Public :**|Seniors|**Conditions d'accès :**|Sur demande||";Association;;64300;ORTHEZ;Selon interventions;Assistance numérique itinérante, à la demande, dans nos locaux ou dans nos clubs, sur l'ensemble du département.|;Seniors;**Conditions d'accès :**|Sur demande||;;;.09 67 01 24 38 |;http://www.generations-mouvement.org];;;oui;;
97;43,464499;-0,614422;En cours;non;Assistance et coups de pouce;MSAP d'Arthez (Bureau de poste);5 place Donis|64370 Arthez-de-Béarn |Mail. msap.arthez-de-bearn@laposte.fr|**Horaires d'ouvertures :**|Lundi : 9h-12h et 13h30-16h30|Mardi  : 9h-12h et 13h30-16h30|Mercredi : 9h-12h et 13h30-16h30|Jeudi : 9h-12h et 13h30-16h30|Vendredi : 9h-12h et 13h30-17h|**Actions proposées :**|- Accès à un îlot de services  ( ordinateur + scan + imprimante ) dans la salle du public  avec un accès aux  services numériques des partenaires. Possibilité de s’isoler dans un bureau pour connexion skype  à partir d’une tablette mise à disposition avec un référent pour chacun des partenaires mais  sur rendez-vous.|- Assistance du chargé de clientèle si nécessaire.| [[https://drive.google.com/file/d/1M5a1K78r3PVL2dQr56jae4Kjp6BWX6Pc/view?usp=sharing|Plus d'informations]]|**Publics :**|Tous publics|;MSAP;5 place Donis|;64370;ARTHEZ-DE-BÉARN;Lundi : 9h-12h et 13h30-16h30|Mardi  : 9h-12h et 13h30-16h30|Mercredi : 9h-12h et 13h30-16h30|Jeudi : 9h-12h et 13h30-16h30|Vendredi : 9h-12h et 13h30-17h;- Accès à un îlot de services  ( ordinateur + scan + imprimante ) dans la salle du public  avec un accès aux  services numériques des partenaires. Possibilité de s’isoler dans un bureau pour connexion skype  à partir d’une tablette mise à disposition avec un référent pour chacun des partenaires mais  sur rendez-vous.|- Assistance du chargé de clientèle si nécessaire.| [[https://drive.google.com/file/d/1M5a1K78r3PVL2dQr56jae4Kjp6BWX6Pc/view?usp=sharing|Plus d'informations]]|;Tout public;;;msap.arthez-de-bearn@laposte.fr|;;https://drive.google.com/file/d/1M5a1K78r3PVL2dQr56jae4Kjp6BWX6Pc/view?usp=sharing|Plus d'informations];;;oui;;
9;43,478488;-1,554405;En cours;non;Services DDFIP64;SIP ((Services des Impôts des Particuliers)  BIARRITZ;SIP BIARRITZ|17 AVE CHARLES FLOQUET |BP 27 |64201 BIARRITZ CEDEX|Accueil des particuliers dans leurs démarches fiscales : OUI;SIP;;64201;BIARRITZ CEDEX;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
108;43,114271;-0,410212;En cours;non;Assistance et coups de pouce;MSAP Vallée d'Ossau - Antenne de Sévignacq;Place de l'Europe |64260 Sévignacq-Meyracq |Tél. 06 71 04 05 43|Mail. msap@ppmm64.org|**Horaires d'ouverture :**|Mardi : 9h30 - 12h30|Mercredi : 14h30 - 18h30|Jeudi : 9h30 - 12h30|**Actions proposées:**|- Accès (équipement et connexion)|- Assistance (faire avec)|**Publics :**|Tous publics;MSAP;;64260;SÉVIGNACQ-MEYRACQ;|Mardi : 9h30 - 12h30|Mercredi : 14h30 - 18h30|Jeudi : 9h30 - 12h30|;Accès (équipement et connexion)|- Assistance (faire avec)|;Tout public;;;msap@ppmm64.org|;. 06 71 04 05 43|;;;;;;
23;43,32159;-0,579922;En cours;non;Services DDFIP64;TM (Trésorerie mixte) MONEIN;TM MONEIN|28 RUE DU COMMERCE |64360 MONEIN|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64360;MONEIN;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
29;43,447624;-1,554049;En cours;non;Formation;Antic Pays basque;2, Terrasses Claude Shannon|Technopole Izarbel| 64210 Bidart|Tel : 05 32 09 11 99|Mail : contact@antic-paysbasque.com|[[https://www.antic-paysbasque.com]]|**Actions proposées :**|- Formations;;2, Terrasses Claude Shannon |Technopole Izarbel|;64210; BIDART;;;;;;;;https://www.antic-paysbasque.com];;;;;
4;43,497149;-1,4874;En cours;non;Opérateurs de services publics;Pôle Emploi Bayonne;42 Boulevard du BAB|64100 Bayonne;Pôle Emploi;42 Boulevard du BAB|;64100;BAYONNE;;;DE;;;;;;;;;;
