MATRICULE;DEPARTEMENT;ESPACE FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE;ID RESEAU;RESEAU;LABELLISATION;REMARQUES CDC;
106;16;Montmoreau;35 avenue d'aquitaine;;16230;16190;MONTMOREAU ST CYBARD;45,396117;0,130144;;;Collectivité;Communauté de Communes;8h45-17h;9h-12h15 / 14h-17h45;9h-12h15;9h-12h15 / 14h-17h;9h-12h15 / 14h-16h;-;;;;Espace labélisé 01/2020;;
107;16;Barbezieux;32 rue de la Motte;;16028;16300;BARBEZIEUX – SAINT-HILAIRE;45,473486;-0,157919;urbanisme3@cdc4b.com;;Collectivité;Communauté de Communes;8h30-12h30 / 13h30-16h30;8h30 - 12h30;8h30-12h30;8h30-12h30;8h30-12h30 / 15h30-16h30;-;;;;Espace labélisé 01/2020;;
108;16;Montemboeuf;22 Rue Laugérias;;16225;16310;MONTEMBOEUF;45,777575;0,551858;;;La Poste;La Poste;-;9h-12h/13h30-16h;9h-12h/13h30-16h;9h-12h/13h30-16h;9h-12h/13h30-16h;9h-12h;;;;Espace labélisé 01/2020;;
109;16;Saint-Séverin;4 Rue de la Pavancelle;;16350;16390;ST SEVERIN;45,312623;0,253223;;;Collectivité;Communauté de Communes;9h - 12h15 / 13h30-17h30;9h - 12h15 / 13h30-16h;9h-12h15;9h - 12h15 / 13h30-16h;8h30-12h30 / 13h15-17h30;-;;;;Espace labélisé 01/2020;;
110;17;Centre Arc en Ciel;8 Rue de l'Hotel de Ville ;;17131;17120;COZES;45,584277;-0,830946;csc.cozes@wanadoo.fr;;Association;Centre Arc en Ciel;9h-13h;9h-12h/14h-17h    ;9h-12h/14h-17h;9h-12h/14h-18h;9h-12h/13h-17h ;-;;;;Espace labélisé 01/2020;;
111;17;La Maison Pop’;Avenue de la Gare;;17240;17130;MONTENDRE;45,282004;-0,396837;lam.montendre@wanadoo.fr;;Association;LA MAISON Pop’;9h à 12h et de 14h à 17h;9h à 12h et de 14h à 17h;9h à 12h et de 14h à 17h;9h à 12h et de 14h à 17h;9h à 12h et de 14h à 17h;-;;;;Espace labélisé 01/2020;;
112;17;MIS Maison des Initiatives Marennes;Rue Dubois Meynardie ;;17219;17320;MARENNES HIERS BROUAGE;45,822826;-1,109971;accueil.mis@marennes-oleron.com;;Association;MIS Maison des Initiatives Marennes;8h45-12h30/ 14h-17h30;14h-17h30;8h45-12h30/ 14h-17h30;8h45-12h30/ 14h-17h30;8h45-12h30/ 14h-17h30;-;;;;Espace labélisé 01/2020;;
113;17;Pôle Service Saint-Jean-d’Angély;1 Rue de Dampierre ;;17347;17400;ST JEAN D ANGELY;45,947368;-0,514339;accueil.cias@valsdesaintonge.fr;;Collectivité;CDC Vals de Saintonge;9h-12h et 13h30-16h;9h-12h et 13h30-16h;9h-12h;9h-12h et 13h30-16h;9h-12h et 13h30-16h;-;;;;Espace labélisé 01/2020;;
114;17;Saint Martin de Ré;Place de la République;;17369;17410;ST MARTIN DE RE;46,202183;-1,367975;;;La Poste;La Poste;9h00 à 12h30 et 14h à 16h;9h00 à 12h30 et 14h à 16h;9h00 à 12h30 et 14h à 16h;9h00 à 12h30 et 14h à 16h;9h00 à 12h30 et 14h à 16h;9h00 à 12h00;;;;Espace labélisé 01/2020;;
115;17;Tonnay-Charente – Fixe;20 Avenue du Général de Gaulle ;;17449;17430;TONNAY CHARENTE;45,944822;-0,894744;msap.cap@gmail.com;;Association;CAP Tonnay-Charente;8h30-12h30    13h30-17h30;9h00- 12h30   13h30-17h30;13h30-17h00;9h00-12h30      13h30-17h30;9h00-12h30   13h30-17h00;-;;;;Espace labélisé 01/2020;;
