slug;typeCommunecter;tags;url;shortDescription;image;description;__recordKey__;email;address;geo;@type;name;geo_latitude;geo_longitude;geometrie;url_communecter;address_addresslocality;address_codeinsee;address_postalcode;address_streetaddress
encommunsorg;Group;"Coworking;Crowdsourcing;TiersLieux;Web;Fablab";"{""website"": ""http://encommuns.org/"", ""communecter"": ""https://www.communecter.org/#@encommunsorg"", ""api"": ""https://www.communecter.org/api/organization/get/id/57220ed240bb4e55389673ab""}";;;;57220ed240bb4e55389673ab;;;;Organization;Encommuns.org;;;;https://www.communecter.org/#@encommunsorg;;;;
laCofabrik;Group;"TiersLieux;Nord;ArtisanatDArt;MetiersDArts;Diy;Atelier;Catalyst;commun;Association;En fonctionnement;Salle de réunion;Plus de 200m2;Cuisine à disposition;Achat groupé;Télétravail;Domiciliation";"{""website"": ""https://www.facebook.com/La-Cofabrik-494425774071290/"", ""communecter"": ""https://www.communecter.org/#@laCofabrik"", ""api"": ""https://www.communecter.org/api/organization/get/id/57220ed240bb4e55389673fb""}";<p>Ateliers et espaces de coworking dédiés à l'artisanat d'art à Lille</p><br>;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/dc7619344d46caac5e7937b30272cbfe;"La Cofabrik est une fabrique du XXIème siècle et s'annonce comme le 1er espace de co­working dédié aux métiers d'art en France.C'est un lieu :- D’échange et de savoir-faire hébergeant des professionnels des métiers d’art.- De création dans la ville pour apprendre à faire soi-même et faire exister ses idées.- De partage et de vie en communauté ouvert sur le quartier et ses habitants.Un espace de 550m², dans le quartier Moulins à Lille, conçu spécialement pour les artisans d’art, artistes et entrepreneurs de la création mais aussi pour tous les amoureux des métiers d’arts en quête d’un lieu de pratique pour 2 publics :**- Les artisans d'art professionnels :** abordable financièrement aux personnes en cours de création d'entreprise, pratique et agréable pour travailler et accueillir des clients dans un lieu convivial. Et où l'esprit d'échange et de partage apporte aussi motivation et soutien sur les problématiques des professions libérales.**- Tous :** amateurs, en cours de professionnalisation, peuvent manquer d'espace ou d'équipement. Ils auront ici accès à des espaces de travail partagés, chacun dédié au travail d'une matière (bois, terre, tissu, métal, etc.) avec diverses machines et outils présentes sur place, ainsi qu'un espace de stockage ; le tout contre un abonnement très accessible.**Le lieu :**  
• Un espace de 550 m2 dédié à l'artisanat d'art (mais pas seulement) au rez-de-chaussée d'un  
immeuble à Lille Moulins (métro Porte de Valenciennes)  
• Il inclut plusieurs espaces de coworking :  
◦ Un coworking terre et céramique (+ un four à céramique)  
◦ Un coworking bois et métal avec machines et une grande entrée pour amener du matériel  
◦ Un coworking « propre » ouvert à tous les profils d'activité  
→ Des machines et des outils seront progressivement mis à disposition des coworkers.  
• 15 ateliers en location  
• Salle de pause avec plaques de cuisson  
• Espaces de stockage  
• Domiciliation possible  
• Parking fermé réservé aux travailleurs  
• Douches  

**Tarifs** :  
• Coworking « nomade » : 6€ / demi-journée ; 10€ / journée ; 100€ / mois  
• Atelier « fixe » : 7,5€ / m2 / mois dans la partie « bureaux » ; 6,5€ / m2 / mois dans la partie entrepôt  

**Organisation interne :**  
• Le lieu est géré par une association d'artisans d'art. En l'absence de salarié, chacun doit contribuer à l'entretien des espaces communs, à l'accueil des visiteurs et à l'organisation des événements organisés ponctuellement à destination des habitants du quartier.  
• Les espaces de coworking sont ouverts à tous (sous réserve d'avoir été formé à l'utilisation des machines pour ceux qui souhaitent les utiliser) ; les ateliers « fixes » sont réservés aux artisans d'art « déclarés » (ayant un statut juridique) ou éventuellement suivis par la BGE ou une coopérative d'activités et d'emploi.  
• Il est envisagé de faire des repas collectifs le midi, avec un petit groupe qui cuisinerait pour les autres.  
• L'association souhaite que ce lieu reste un lieu de travail. Les horaires d'ouverture seront des horaires « de bureau » (type 7h-19h) avec une nocturne une fois par semaine (jusqu'à 22h).  
Cela n'empêche pas les moments conviviaux et informels, mais l'objectif est que le lieu ne devienne pas une seconde maison ou un lieu de fête ! La signature d'une charte par les travailleurs garantira le respect de ces principes.  

**Animations :**  
Elles arriveront dans un second temps, une fois que tout sera installé. Il pourra s'agir :  
• De journées thématiques (journée « bois », journée « céramique » par exemple) ou portes  
ouvertes, à destination des habitants du quartier et plus largement de la ville  
• D'ateliers proposés par les artisans d'art  

**Le profil des co-workers :**  
• Artisans d'art  
• N'importe quelle personne ayant besoin d'utiliser les machines (sous réserve d'avoir été  
formé à leur utilisation)  
• Tous les profils ayant besoin d'un espace de travail, y compris un travail non-artisanal";57220ed240bb4e55389673fb;lacofabrik@gmail.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""Rue Charles Delesalle"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.618763208374, ""@type"": ""GeoCoordinates"", ""longitude"": 3.0769979953766}";Organization;La CoFabrik;50.618763208374;3.0769979953766;50.6187632084,3.07699799538;https://www.communecter.org/#@laCofabrik;LILLE;59350;59000;Rue Charles Delesalle
socopira;Group;"TiersLieux;Nord;Lille;Commun;Catalyst;En fonctionnement;SallesDeRéunion;Association;multimédia;Télétravail";"{""website"": ""http://www.socopira.infos.st/"", ""communecter"": ""https://www.communecter.org/#@socopira"", ""api"": ""https://www.communecter.org/api/organization/get/id/57220ed340bb4e553896741e""}";<p>Espace d'échanges, de rencontres et de vie : coworking, salles de conférence, restauration, salles d'activités...</p><br>;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/55e88712532d2bd14195cefb51c09d68;"Socopira désigne, au Cap Vert, une place ouverte où les gens s’y rencontrent pour échanger, vendre, parler, inventer, partager…  

C’est pour cela que le nom Socopira s’est imposé de lui-même pour qualifier cette nouvelle place dédiée à l’innovation sociale, à l’entrepreneuriat et au monde associatif.  

Meltingpot mêlant associations et freelances, Socopira sera un nouveau Tiers-lieu de la métropole qui ""s'imbriquera dans"" et développera le réseau existant.  

L'espace Socopira est un village dans la ville, un lieu où se crée une seule et même communauté désireuse de contribuer à des sujets d'ordre planétaire (écologie, vivre ensemble, biens communs...) et de créer des actions collectives/communes.  

C'est comment ?  

La structure regroupera 5 grands ensembles qui font de cette structure un Tiers-lieu à part entière :  

Des espaces de Travail : Equipage Coworking où vous pourrez avoir :  
- Un poste de travail : internet haut débit – imprimantes et stations d’accueil  
soit en bureau nomade* ou en bureau fixe  
- Des bureaux partagés/privés avec accès indépendant  
- Deux salles de réunion : 20/30 personnes assises avec rétroprojecteur (pour les réunions/manifestations de plus grande importance, utilisation de l'espace forum)  
- Un espace détente : avec coin repas/ cuisine, distributeurs de boissons et d’encas  
- Un Fablab/Makerspace : développé en partenariat avec la ressourcerie Delacroix  
- Un accueil : un chargé d’accueil est présent pendant les heures d’ouverture (9 h – 18 h/ 7j sur 7)  

Avec le petit plus / l’embarcadère : 61 places de parkings et 30 places supplémentaires couvertes et surveillées et 10 vélos à libre disposition  

Une ressourcerie : élément développé en parallèle du Fablab et Makerspace, les coworkers pourront s’y approvisionner en éléments de récupération.  

Un Espace Forum avec restauration : Cet espace modulable a été conçu pour recevoir plusieurs manifestations en même temps ou un seul et même évènement de plus grande importance.Le forum dispose d’une salle de restauration de 200 couverts, d’un espace VIP, d’un jardin intérieur, et d’une salle évènementielle de 400 personnes (min) avec écran et podium amovible.Modulable, l’espace entier permet de recevoir plus de 1000 personnes.  

Un Espace multi activités – en cours d’élaboration (salle fitness + garderie et espace jeux)  

Un Espace numérique pour tous qui a pour but de lutter contre la fracture sociale, sociétale et numérique (déjà en fonction) et qui accueille d’autres associations pour des permanences, y compris un écrivain public.  

Mais Socopira c’est aussi :  

Une rue intérieure : Elle irrigue toute la structure !  
Des boxes où l’on peut s’isoler pour un rendez-vous, des échoppes où les Coworkers et usagers peuvent exposer ou vendre leurs inventions et conceptions,…  
C’est un véritable écosystème solidaire et social où les échanges se font…";57220ed340bb4e553896741e;socopira59@gmail.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""ROUBAIX"", ""streetAddress"": ""59 Avenue Jules Brame"", ""postalCode"": ""59100"", ""codeInsee"": ""59512"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.6867371, ""@type"": ""GeoCoordinates"", ""longitude"": 3.204381}";Organization;Socopira;50.6867371;3.204381;50.6867371,3.204381;https://www.communecter.org/#@socopira;ROUBAIX;59512;59100;59 Avenue Jules Brame
3Teinturiers;LocalBusiness;"TiersLieux;Catalyst;internet;Cuisine;En fonctionnement;Sport;Bibliothèque;Business;Agriculture;Salle de réunion;Télétravail;Domiciliation";"{""website"": ""http://coworking-villeneuve-ascq.fr"", ""communecter"": ""https://www.communecter.org/#@3Teinturiers"", ""api"": ""https://www.communecter.org/api/organization/get/id/57220ed340bb4e5538967434""}";"<p>Un ensemble d'espace bureaux collectifs et individuels&nbsp;permettant l'échange, la créativité et le bien-être en entreprise.</p><br>";https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/fb4751b7e876d4b006ccfd9046f9c9a3;"Un ensemble d'espace **bureaux collectifs et individuels** permettant **l'échange, la créativité et le bien-être** en entreprise.Coworking entièrement meublé et équipé. Idéalement situé à Villeneuve d'Ascq, proximité Métro Wasquehal hotel de Ville, Tramway Le Sart, Bus et Commerces. Accessible via les Grands Boulevards et la rocade Nord-Ouest.Les 3teinturiers, c'est également un club d'affaires de professionnels se réunissant mensuellement pour échanger des conseils.

**Types de ressources à disposition :**  

Connexion internet haut débit SDSL

Wifi invité pour vos visiteurs

Service d'accueil

Entrée sécurisée et site sous alarme

Parking gratuit à proximité

Salle de réunion (10 persones)

Salle de formation/conférence (12 personnes)

Cuisine équipée et espace déjeuner

Service de propreté

Salle de sport équipée

Bibliothèque

**Tarifs :**  
• 149€ HT / mois en coworking.";57220ed340bb4e5538967434;cecile@coworking-villeneuve-ascq.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""VILLENEUVE D ASCQ"", ""streetAddress"": ""3, rue des Teinturiers 59491 VILLENEUVE D'ASCQ"", ""postalCode"": ""59491"", ""codeInsee"": ""59009"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.6678676, ""@type"": ""GeoCoordinates"", ""longitude"": 3.1409512}";Organization;3 Teinturiers;50.6678676;3.1409512;50.6678676,3.1409512;https://www.communecter.org/#@3Teinturiers;VILLENEUVE D ASCQ;59009;59491;3, rue des Teinturiers 59491 VILLENEUVE D'ASCQ
le188;Group;"TiersLieux;culture;artistes;Collaboration;connecter;En fonctionnement;Accompagnement de projet";"{""website"": ""http://www.le188.fr/"", ""communecter"": ""https://www.communecter.org/#@le188"", ""api"": ""https://www.communecter.org/api/organization/get/id/57adab7d40bb4ea21b8a6a2f""}";<p>Le 188 est une plate-forme culturelle destinée aux compagnies d'arts vivants</p><br>;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/626a26f1a9119c7501ca1eacf49f2b09;"Le 188 a été créé pour répondre aux besoins des compagnies émergentes de la région, proposant une mutualisation d'outils et de savoir-faire.

Le 188 développe un modèle économique visant l’auto-financement, en accord avec les valeurs de l'Économie Sociale et Solidaire.

Le 188 est un projet ancré sur son territoire et développe autour de ses axes forts des liens avec la population locale, partageant ainsi les richesses et valeurs portées par les projets artistiques et culturels y étant associés.

Le 188 est un cadre accompagnant les initiatives de tout collectif, coopération, compagnie, regroupement de personnes, d'usagers… souhaitant développer des activités propres à leurs pratiques professionnelles et/ou personnelles.";57adab7d40bb4ea21b8a6a2f;contact@le188.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""188 rue du Faubourg de Béthune"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.6178545, ""@type"": ""GeoCoordinates"", ""longitude"": 3.0286522}";Organization;Le 188;50.6178545;3.0286522;50.6178545,3.0286522;https://www.communecter.org/#@le188;LILLE;59350;59000;188 rue du Faubourg de Béthune
entrepriseOuverte;LocalBusiness;"TiersLieux;imprimante 3D;Salle de réunion;Coworking;Télétravail;En fonctionnement;MutualisationDeMatériels;Catalyst;Business;Domiciliation";"{""website"": ""http://www.entrepriseouverte.com/"", ""communecter"": ""https://www.communecter.org/#@entrepriseOuverte"", ""api"": ""https://www.communecter.org/api/organization/get/id/57adb96040bb4e991d8a6a26""}";<p>Espace d'innovation Durable</p><p><br></p>;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/c437aec2b950a9f134a77c02de8d8cda;"# Concept

Une entreprise ouverte est une nouvelle génération d'entreprises mettant à disposition de TOUS, ses moyens et ses services de production. Elles favorisent les pratiques collaboratives, la mutualisation, l'éconologie... le tout dans un contexte d'émergence grâce à la diversité des publics qui les compose et qui les fréquente.

**Le lieu :**  
• Un lieu atypique dans une ancienne usine textile reconvertie en hôtel d’entreprises  
• Un espace de coworking de 133 m2  
• Un espace détente et repas de 45 m2  
• Un Fablab comprenant : imprimante 3D, découpeuse / graveuse laser, poste électronique,  
poste de bricolage (soudure, perceuse etc.), découpeuse vinyle (stickers)  
• Des cours pour apprendre à utiliser les différentes machines  
• 1 responsable du coworking et 1 responsable du fablab  
• Location de salles de réunion  
• Possibilité de domiciliation  

**Tarifs :**  
• Espace de coworking :  
  - Abonnements : 6 mois = 110€ / mois ; 3 mois = 162€ / mois ; 2 mois = 170€ / mois ; 1mois = 179€ / mois  
  - Semaine ou carnet de 10 = 10€ / jour, soit 200€ mois  
• Salle de réunion : 5 personnes : 22,5€ / journée ; 15 personnes : 30€ / journée ; 30  
personnes : 45€ / journée  
Animations :  
• Organisation d’ateliers divers  
Exemples : coding goûter, co-lunch , petits déjeuners thématiques...  
• Workshop, conférences, team building  
• Micro-formations  
• Formations Employabilité Numérique  

**Profil des coworkers :**  
• Tout créateur d’entreprise souhaitant bénéficier d’un espace de travail optimisé collectif ou  
privatisé, de salles de réunion, ainsi qu’un espace détente à moindre coût et sans  
engagement.  
• L’idée est de permettre aux travailleurs indépendants de ne pas rester isolés et pouvoir  
trouver un espace de partage et de réseautage pour le démarrage de leur activité.  
• Actuellement, une dizaine de personnes y viennent régulièrement de façon nomade ou en espace privatisé.  

**Organisation interne :**  
• L’idée est de mettre en place des modes de travail participatifs, coopératifs et  
écoresponsable, et permettre aux travailleurs de s’impliquer dans l’évolution du modèle.  
• Agrément entreprise sociale et solidaire en cours d’obtention.  
• L’objectif de travailler en réseau est de générer du flux et donc de la rentabilité pour les coworkers";57adb96040bb4e991d8a6a26;pourquoipasmoi@entrepriseouverte.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""ROUBAIX"", ""streetAddress"": ""139 rue des Arts"", ""postalCode"": ""59100"", ""codeInsee"": ""59512"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.6881946, ""@type"": ""GeoCoordinates"", ""longitude"": 3.1655477}";Organization;ENTREPRISE OUVERTE;50.6881946;3.1655477;50.6881946,3.1655477;https://www.communecter.org/#@entrepriseOuverte;ROUBAIX;59512;59100;139 rue des Arts
laMaisonDuCoworking;LocalBusiness;"TiersLieux;Coworking;Télétravail;En fonctionnement;Salle de réunion;Domiciliation;Business;domiciliation";"{""website"": ""https://www.lamaisonducoworking.fr/vda"", ""communecter"": ""https://www.communecter.org/#@laMaisonDuCoworking"", ""api"": ""https://www.communecter.org/api/organization/get/id/57adbd7f40bb4ee81e8a6a18""}";<p>L'endroit idéal pour lancer sa société, la développer et s'étendre sur plusieurs bureaux si besoin.</p><br>;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/e48fdfd1e2fcb2fbfcd502611b4d8508;"**Offre :**  
• Coworking  
• Hôtel d’entreprises en croissance  
• Domiciliation

**Les espaces de travail** : 600m 2  
• 25 postes de travail en open space  
• 11 bureaux fermés, de 2 à 5 personnes  
• 3 salles de réunion (8 personnes x2, 20 personnes x1)  

**Services inclus :**  
• Accès 24/7  
• Salle de pause avec table, placards et petit électroménager  
• Impressions incluses dans certains forfaits de bureaux  
• Impression 3D à la demande  
• Prestation traiteur via un partenaire local  

**Tarifs :**  
• Formule nomade (non nominatif – place garantie en open space) : 120€ HT/mois  
• Formule fixe (nominatif – place garantie en open space) : 160€ HT/mois  
• Formule privée (bureau privatisé) : à partir de 300€ HT/mois  

**Animations :**  
Petits déjeuners thématiques animés par des coworkers et destinés à l’ensemble du réseau de la  
communauté de la Maison.  
Exemples de thématiques : l’art de convaincre dans la négociation commerciale  

**Organisation interne :**  
• Tout est automatisé avec un système de paiement en ligne exclusivement, activant le badge  
d'accès aux locaux. L'objectif est que personne n'ait à s'occuper d'aspects administratifs.  
• Ambiance « auberge espagnole » avec des échanges informels entre les coworkers afin de favoriser les synergies.  

**Les profils des coworkers :**  
• Presque exclusivement des créateurs d'activité  
• Secteurs d'activité : web, services à l'entreprise : consultants, formateurs, commerciaux,  
graphistes  
→ Pas de spécialisation dans un secteur d'activité. Cela permet aux travailleurs d'être  
complémentaires et de s'associer sur certains projets.";57adbd7f40bb4ee81e8a6a18;bonjour@lamaisonducoworking.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""VILLENEUVE D ASCQ"", ""streetAddress"": ""9 allée de la laiterie"", ""postalCode"": ""59650"", ""codeInsee"": ""59009"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.608680658321, ""@type"": ""GeoCoordinates"", ""longitude"": 3.1661009788513}";Organization;LA MAISON DU CO-WORKING;50.608680658321;3.1661009788513;50.6086806583,3.16610097885;https://www.communecter.org/#@laMaisonDuCoworking;VILLENEUVE D ASCQ;59009;59650;9 allée de la laiterie
concept43;LocalBusiness;"TiersLieux;En démarrage";"{""website"": ""http://mymoneyhelp.fr/index.php/campaigns/soutenez-le-concept-43-un-espace-commercial-innovant-et-inedit-a-marquette-lez-lille-59/"", ""communecter"": ""https://www.communecter.org/#@concept43"", ""api"": ""https://www.communecter.org/api/organization/get/id/58500e0840bb4e55487408e0""}";;;;58500e0840bb4e55487408e0;;"{""addressCountry"": ""FR"", ""addressLocality"": ""MARQUETTE LEZ LILLE"", ""streetAddress"": ""14 avenue industrielle"", ""postalCode"": ""59520"", ""codeInsee"": ""59386"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.67454900"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.05379000""}";Organization;Concept 43;50.67454900;3.05379000;50.674549,3.05379;https://www.communecter.org/#@concept43;MARQUETTE LEZ LILLE;59386;59520;14 avenue industrielle
laCompagnieDesTierslieux;NGO;"TiersLieux;Fablab;Coworking;Economie Sociale et Solidaire;Hauts de France";"{""website"": ""https://compagnie.tiers-lieux.org/"", ""communecter"": ""https://www.communecter.org/#@laCompagnieDesTierslieux"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d36ad9340bb4ea9625e0915""}";Le réseau des tiers-lieux des Hauts de France;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/bc8654aa43447d8642b63867d3318910;"Convaincus par la dynamique des tiers-lieux, déjà actifs au sein de l’association ANIS et du réseau Catalyst, nous avons décidé, au début des années 2010, de nous organiser en collectif.

Notre objectif : accompagner les porteurs de projet et mettre en réseau les tiers-lieux du territoire.

Mailing list, wiki, événements : les actions mises en place ont connu un rapide succès. Les demandes de conseil et d’accompagnement se sont multipliées et il a bien fallu se structurer ! Le collectif est donc devenu une compagnie sous forme associative.

Aujourd’hui, la Compagnie des Tiers-Lieux est reconnue comme un activateur essentiel du réseau des tiers-lieux en Hauts-de-France, et particulièrement sur la métropole lilloise où elle développe un programme spécifique soutenu par la MEL.";5d36ad9340bb4ea9625e0915;hello@compagnie.tiers-lieux.org;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""16 allée de la filature"", ""postalCode"": ""59000"", ""codeInsee"": ""undefined"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.620041"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.072641""}";Organization;La Compagnie des Tiers-Lieux;50.620041;3.072641;50.620041,3.072641;https://www.communecter.org/#@laCompagnieDesTierslieux;LILLE;undefined;59000;16 allée de la filature
espaceEphemere;Group;"En projet;Hybride;Coworking;Atelier partagé;Accompagnement de projets;Atelier;Salle de réunion;Espace à louer;Cuisine;Laboratoire;Espace de recherche;Café;Offre culturelle ou artistique;Bar / café;Boutique;Jardin;Habitat;Accompagnement des publics accueillis;Complexe évènementiel;Salle de réunion;Espace de stockage;Conciergerie;Épicerie participative ou achat groupé;Atelier participatif;Bar ou café participatif;TiersLieux";"{""communecter"": ""https://www.communecter.org/#@espaceEphemere"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41654e40bb4e913e0e4a4a""}";;;;5d41654e40bb4e913e0e4a4a;jbr.ephemere@gmail.com;"{""postalCode"": ""59000"", ""addressLocality"": ""LILLE"", ""codeInsee"": ""59350"", ""addressCountry"": ""FR"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.6138111"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.0423599""}";Organization;Espace Ephémère;50.6138111;3.0423599;50.6138111,3.0423599;https://www.communecter.org/#@espaceEphemere;LILLE;59350;59000;
