name,supporting_structure_name,description,type,status,legal_entity_type,siret,address_raw,address_housenumber,address_street,address_postcode,address_citycode,address_city,address_departement_code,address_departement_name,address_region_name,latitude,longitude,is_itinerant,itinerant_details,is_online,contact_phone_raw,contact_phone,contact_phone_details,contact_email,contact_website_url,contact_facebook_url,contact_twitter_url,contact_youtube_url,opening_hours_raw,opening_hours_osm_format,opening_hours_details,target_audience_raw,target_audience,support_access_raw,support_access,support_mode_raw,support_mode,is_free,price_details,payment_methods,labels_raw,labels,aide_mapped,francilin_id,lieu_nom,contact_nom,adresse,code_postal,commune,horaires,telephone,e_mail,site_web,aide,accessibilite,label,SIRET,thematique_principale,services,source,id_source
Médi@Bus,,,,,,, 93600 Aulnay-sous-Bois,,Aulnay-sous-Bois,93600,93005,Aulnay-sous-Bois,93,Seine-Saint-Denis,Île-de-France,48.944147,2.495219,,,,0158039222,0158039222,,bibmediabus@aulnay-sous-bois.com,https://www.aulnay-sous-bois.fr/mes-loisirs/culture/reseau-des-bibliotheques/mediabus/,,,,Fr 09:45-12:30,Fr 09:45-12:30,,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",1,Médi@Bus,,,93600,Aulnay-sous-Bois,Fr 09:45-12:30,0158039222,bibmediabus@aulnay-sous-bois.com,https://www.aulnay-sous-bois.fr/mes-loisirs/culture/reseau-des-bibliotheques/mediabus/,"1,2",,,,2,"202,203,204,205,206",CD93,172
Bibliothèque Elsa Triolet,,,,,,,4 rue de l'union 93000 Bobigny,4,Rue de l'Union,93000,93008,Bobigny,93,Seine-Saint-Denis,Île-de-France,48.906579,2.442389,,,,0148952056,0148952056,,laurene.pain-prado@ville-bobigny.fr,,,,,"Tu,Th 15:00-19:00, We 10:00-12:00,14:00-18:00, Fr 12:00-18:00, Sa 10:00-17:00","Tu,Th 15:00-19:00, We 10:00-12:00,14:00-18:00, Fr 12:00-18:00, Sa 10:00-17:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin),Les premiers pas sur internet et en informatique",2,Bibliothèque Elsa Triolet,Laurène Pain-Prado,4 rue de l'union,93000,Bobigny,"Tu,Th 15:00-19:00, We 10:00-12:00,14:00-18:00, Fr 12:00-18:00, Sa 10:00-17:00",0148952056,laurene.pain-prado@ville-bobigny.fr,,"1,2,3",,,,3,"319,321,335,111,113,203,209",CD93,34
Bibliothèque Emile Aillaud,,,,,,,60 avenue Edouard Vaillant 93000 Bobigny,60,Avenue Edouard Vaillant,93000,93008,Bobigny,93,Seine-Saint-Denis,Île-de-France,48.90958,2.46756,,,,0148478117,0148478117,,laurene.pain-prado@ville-bobigny.fr,,,,,"Tu 10:00-12:00,15:00-19:00, We 10:00-12:00,14:00-18:00, Fr 15:00-18:00, Sa 10:00-17:00","Tu 10:00-12:00,15:00-19:00, We 10:00-12:00,14:00-18:00, Fr 15:00-18:00, Sa 10:00-17:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",3,Bibliothèque Emile Aillaud,Laurène Pain-Prado,60 avenue Edouard Vaillant,93000,Bobigny,"Tu 10:00-12:00,15:00-19:00, We 10:00-12:00,14:00-18:00, Fr 15:00-18:00, Sa 10:00-17:00",0148478117,laurene.pain-prado@ville-bobigny.fr,,"1,2",,,,5,"519,701",CD93,40
Mission Locale Mire,,,,,,,5 rue de la Gaité 93000 Bobigny,5,Rue de la Gaité,93000,93008,Bobigny,93,Seine-Saint-Denis,Île-de-France,48.910691,2.436399,,,,0148969989,0148969989,,,,,,,"Mo-Th 08:45-12:30,13:45-17:30; Fr 14:00-16:30","Mo-Th 08:45-12:30,13:45-17:30; Fr 14:00-16:30",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",4,Mission Locale Mire,Lydia Chevallier,5 rue de la Gaité,93000,Bobigny,"Mo-Th 08:45-12:30,13:45-17:30; Fr 14:00-16:30",0148969989,,,"1,2",,,,1,"110,111,112,113,114,116,401,402,404,405,407,203,204,205,206,207,209,215",CD93,23
Bibliothèque Colonel Fabien,,,,,,,118 Av du Colonel Fabien 93100 Montreuil,118,Avenue du Colonel Fabien,93100,93048,Montreuil,93,Seine-Saint-Denis,Île-de-France,48.874401,2.449629,,,,0148576441,0148576441,,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,,,,"Tu,Fr 15:00-18:00, We 10:00-12:00,14:00-18:00, Sa 10:00-13:00,14:00-17:00","Tu,Fr 15:00-18:00, We 10:00-12:00,14:00-18:00, Sa 10:00-13:00,14:00-17:00",,,,,,,,,,,,,La recherche d'un emploi,5,Bibliothèque Colonel Fabien,,118 Av du Colonel Fabien,93100,Montreuil,"Tu,Fr 15:00-18:00, We 10:00-12:00,14:00-18:00, Sa 10:00-13:00,14:00-17:00",0148576441,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,1,,,,3,,CD93,166
Bibliothèque Daniel Renoult,,,,,,,22 place Le Morillon 93100 Montreuil,22,Place le Morillon,93100,93048,Montreuil,93,Seine-Saint-Denis,Île-de-France,48.865505,2.479544,,,,0148547717,0148547717,,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,,,,"Tu,Fr 15:00-18:00, We 10:00-12:00,14:00-18:00, Sa 10:00-13:00,14:00-17:00","Tu,Fr 15:00-18:00, We 10:00-12:00,14:00-18:00, Sa 10:00-13:00,14:00-17:00",,,,,,,,,,,,,La recherche d'un emploi,6,Bibliothèque Daniel Renoult,,22 place Le Morillon,93100,Montreuil,"Tu,Fr 15:00-18:00, We 10:00-12:00,14:00-18:00, Sa 10:00-13:00,14:00-17:00",0148547717,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,1,,,,3,,CD93,165
Bibliothèque de quartier Paul Éluard,,,,,,,10 rue Valette 93100 Montreuil,10,Rue Valette,93100,93048,Montreuil,93,Seine-Saint-Denis,Île-de-France,48.854579,2.421377,,,,0148576656,0148576656,,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,,,,"Tu,Fr 15:00-18:00; We 10:00-12:00,14:00-18:00; Sa 10:00-13:00,14:00-17:00","Tu,Fr 15:00-18:00; We 10:00-12:00,14:00-18:00; Sa 10:00-13:00,14:00-17:00",,,,,,,,,,,,,La recherche d'un emploi,7,Bibliothèque de quartier Paul Éluard,,10 rue Valette,93100,Montreuil,"Tu,Fr 15:00-18:00; We 10:00-12:00,14:00-18:00; Sa 10:00-13:00,14:00-17:00",0148576656,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,1,,,,8,813,CD93,164
Bibliothèque Robert Desnos,,,,,,,14 boulevard Rouget de l'isle 93100 Montreuil,14,Boulevard Rouget de Lisle,93100,93048,Montreuil,93,Seine-Saint-Denis,Île-de-France,48.86154,2.440636,,,,0148706904,0148706904,,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,,,,"Tu 12:00-20:00; We,Sa 10:00-18:00; Th,Fr 14:00-19:00","Tu 12:00-20:00; We,Sa 10:00-18:00; Th,Fr 14:00-19:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin),Les premiers pas sur internet et en informatique",8,Bibliothèque Robert Desnos,,14 boulevard Rouget de l'isle,93100,Montreuil,"Tu 12:00-20:00; We,Sa 10:00-18:00; Th,Fr 14:00-19:00",0148706904,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,"1,2,3",,,,3,333,CD93,163
Café la Pêche,,,,,,,16 rue Pépin 93100 Montreuil,16,Rue Pepin,93100,93048,Montreuil,93,Seine-Saint-Denis,Île-de-France,48.863315,2.446808,,,,0171862900,0171862900,,communication@lapechecafe.com,,,,,"Mo-Fr 09:00-12:00,13:45-17:30","Mo-Fr 09:00-12:00,13:45-17:30",,,,,,,,,,,,,La recherche d'un emploi,9,Café la Pêche,Lahsen El Bouhali,16 rue Pépin,93100,Montreuil,"Mo-Fr 09:00-12:00,13:45-17:30",0171862900,communication@lapechecafe.com,,1,,,,3,,CD93,76
Centre Social / Maison de Quartier Esperanto,,,,,,,14 Allée Rolland Martin 93100 Montreuil,14,Allée Roland Martin,93100,93048,Montreuil,93,Seine-Saint-Denis,Île-de-France,48.865265,2.478463,,,,0171892520,0171892520,,edwige.lajon@montreuil.fr,http://www.montreuil.fr/fileadmin/user_upload/Files/actualites_fichiers/2017/08_aout/Esperanto-Plaquette2017-2018-HD.pdf,,,,"Mo-Fr 09:00-12:15,14:00-18:00; Tu 14:00-18:00","Mo-Fr 09:00-12:15,14:00-18:00; Tu 14:00-18:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin),Les premiers pas sur internet et en informatique",10,Centre Social / Maison de Quartier Esperanto,Edwige Lajon,14 Allée Rolland Martin,93100,Montreuil,"Mo-Fr 09:00-12:15,14:00-18:00; Tu 14:00-18:00",0171892520,edwige.lajon@montreuil.fr,http://www.montreuil.fr/fileadmin/user_upload/Files/actualites_fichiers/2017/08_aout/Esperanto-Plaquette2017-2018-HD.pdf,"1,2,3",,,,2,"333,205,209,",CD93,70
