nom,structure_porteuse,description,type_lieu,statut,nature_juridique,siret,adresse_brut,adresse_numero,adresse_rue,adresse_code_postal,adresse_code_insee,adresse_commune,adresse_departement,adresse_region,latitude,longitude,itinerant,en_ligne,contact_telephone,contact_telephone_details,contact_email,contact_web,contact_facebook,horaires_ouverture_brut,horaires_ouverture_osm,public_cible,modalites_acces,modalites_accompagnement,tarifs,accessibilite,services,labels
FEP Médiathèque,,,,,,,11170 Alzonne,,Alzonne,11170,11009,Alzonne,Aude,Occitanie,43.264943,2.165457,,Non,,,fep.alzonne@wanadoo.fr,,,,,,,,,,,
Centre culturel d'Ancizan,,,,,,,65440 Ancizan,,Ancizan,65440,65006,Ancizan,Hautes-Pyrénées,Occitanie,42.87731,0.312815,,Non,,,centreculturel-ancizan@wanadoo.fr,,,,,,,,,,,
Centre Culturel,,,,,,,10 rue de l'Arbizon 65440 Ancizan,10,Rue de l'Arbizon,65440,65006,Ancizan,Hautes-Pyrénées,Occitanie,42.873053,0.342376,,Non,0562399229,,commune.ancizan@orange.fr,,,,,,,,,,,
Bibliothèque municipale,,,,,,,31160 Arbas,,Arbas,31160,31011,Arbas,Haute-Garonne,Occitanie,42.994112,0.908313,,Non,,,,,,,,,,,,,,
SARAPP,,,,,,,65400 Argeles Gazost,,Argelès-Gazost,65400,65025,Argelès-Gazost,Hautes-Pyrénées,Occitanie,43.005364,-0.09429,,Non,,,65sararg@ac-toulouse.fr,,,,,,,,,,,
Restos du Cœur,,,,,Association,,2 rue de l'Arrieulat 65400 Argeles Gazost,2,Rue Arrieulat,65400,65025,Argelès-Gazost,Hautes-Pyrénées,Occitanie,43.003162,-0.103378,,Non,,,,,,,,,,,,,,
Maison Départementale de Solidarité,,,,,,,1 chemin de l'herbe 65400 Argeles Gazost,1,Chemin de l'Herbe,65400,65025,Argelès-Gazost,Hautes-Pyrénées,Occitanie,43.007203,-0.092477,,Non,0531743710,,,,,,,,,,,,,
Médiathèque Municipale,,,,,,,1 rue Jean Bourdette 65400 Argeles Gazost,1,Rue Jean Bourdette,65400,65025,Argelès-Gazost,Hautes-Pyrénées,Occitanie,43.002749,-0.101873,,Non,0562971059,,bibliotheque@mairie-argeles-gazost.com,,,,,,,,,,,
Arreau,La Poste,,La Poste,,,,4 rue Saint-Exupéry 65240 Arreau,4,Rue Saint Exupère,65240,65031,Arreau,Hautes-Pyrénées,Occitanie,42.906182,0.358829,,Non,,,,,,,,,,,,,,France Services
MSAP/Bureau de Poste,,,,,,,4 rue St Exupère 65240 Arreau,4,Rue Saint Exupère,65240,65031,Arreau,Hautes-Pyrénées,Occitanie,42.906182,0.358829,,Non,0562407054,,,,,,,,,,,,,
Restos du Cœur,,,,,Association,,17 grande rue 65240 Arreau,17,Grande Rue,65240,65031,Arreau,Hautes-Pyrénées,Occitanie,42.905152,0.358811,,Non,,,,,,,,,,,,,,
médiathèque,,,,,,,Chateaux des Nestes 65240 Arreau,,Quai de la Neste,65240,65031,Arreau,Hautes-Pyrénées,Occitanie,42.905425,0.358085,,Non,0562986694,,,,,,,,,,,,,
médiathèque de Batsurguère,,,,,,,3 rue de la Ribère 65100 Aspin en Lavedan,3,Rue de la Ribère,65100,65040,Aspin-en-Lavedan,Hautes-Pyrénées,Occitanie,43.076697,-0.046425,,Non,,,asso-escb@orange.fr,,,,,,,,,,,
Coopérative réemploi,,,,,,,32000 Auch,,Auch,32000,32013,Auch,Gers,Occitanie,43.661645,0.566383,,Non,,,,,,,,,,,,,,
Garros Services,,,,,,,32000 Auch,,Auch,32000,32013,Auch,Gers,Occitanie,43.661645,0.566383,,Non,,,auch@cnlrq.org,,,,,,,,,,,
