bfc_id,mise_a_jour,lon,lat,adresse,code_postal,ville,adresse_full,departement,dep_txt,nom_structure,url_lieu,contact_email,contact_tel,source,url_illustration,code_typo,def_typo,code_label,def_label,code_accomp,def_accomp,horaires
mednumBFC_TL_1_,18/05/2020,5.0495589999999995,47.364205,38 Avenue Françoise Giroud,21000,DIJON,38 Avenue Françoise Giroud 21000 DIJON,21,D_21,Onlineformapro,https://www.onlieformapro.com,aptic-dijon@onlineformapro.com,03 84 76 90 83,,,O,Lieux de formation,APTIC,APTIC,,,"<ul><li>- lundi matin: 8h30-12h / lundi après-midi: 12h-17h<br>
</li><li>- mardi matin: 8h30-12h / mardi après-midi: 12h-17h<br>
</li><li>- mercredi matin: 8h30-12h / mercredi après-midi: 12h-17h<br>
</li><li>- jeudi matin: 8h30-12h / jeudi après-midi: 12h-17h<br>
</li><li>- vendredi matin: 8h30-12h / vendredi après-midi: 12h-17h<br>
</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_2_,,5.069047,47.329679999999996,14  rue Camille Claudel,21000,DIJON,14  rue Camille Claudel 21000 DIJON,21,D_21,PANDA Grésilles,,,03 80 48 84 14,,,M,Lieux de médiation publique,APTIC-DM,APTIC-Réseau Dijon métropole,,,"<ul><li>- lundi matin: 9h-12h / lundi après-midi: 14h-18h<br>
</li><li>- mardi matin: 9h-12h / mardi après-midi: 14h-18h<br>
</li><li>- mercredi matin: 10h-12h / mercredi après-midi: 14h-18h<br>
</li><li>- jeudi matin: 9h-12h / jeudi après-midi: 14h-18h<br>
</li><li>- vendredi matin: 9h-12h / vendredi après-midi: 14h-17h<br>
</li><li>- samedi matin: 9h-12h / samedi après-midi: 14h-17h<br>
</li><li>- </li></ul>"
mednumBFC_TL_3_,18/05/2020,4.49111,47.13087,3 rue de la Gare,21230,ARNAY LE DUC,3 rue de la Gare 21230 ARNAY LE DUC,21,D_21,Espace numérique de Côte-d'Or - Centre social d'Arnay-le-Duc,https://csarnayleduc.fr,accueil@csarnayleduc.fr,03 80 90 17 55,,,I,Lieux d’information et d’accès aux droits,APTIC-MSAP-MFS,APTIC-Maison de Services Au Public-Maison France Services,,,"<ul><li>-  / lundi après-midi: 18h30-20h<br>
</li><li>- mardi matin: 10h-11h30 / mardi après-midi: 15h30-18h30<br>
</li><li>-  / mercredi après-midi: 15h30-17h30<br>
</li><li>- jeudi matin: 9h30-11h30</li><li>-  / vendredi après-midi: 15h30-18h30<br>
</li><li>-  / samedi après-midi: 14h30-15h30<br>
</li><li>- </li></ul>"
mednumBFC_TL_4_,,5.00864,47.289688,7 rue de Longvic,21300,CHENOVE,7 rue de Longvic 21300 CHENOVE,21,D_21,MJC Chenôve,,,03 80 52 18 64,,,F,Lieux de médiation et de fabrication,APTIC,APTIC,,,
mednumBFC_TL_5_,,5.061143,47.285342,Mairie de Longvic - Allée de la Mairie - BP 77,21600,LONGVIC,Mairie de Longvic - Allée de la Mairie - BP 77 21600 LONGVIC,21,D_21,Médiathèque Michel Etiévant,,,03 80 68 21 60,,,M,Lieux de médiation publique,APTIC,APTIC,,,
mednumBFC_TL_6_,,6.02968,47.2349,2 rue Victor Hugo,25000,BESANCON,2 rue Victor Hugo 25000 BESANCON,25,D_25,AC agir ensemble contre le chômage,,,06 83 91 97 70,,,F,Lieux de médiation et de fabrication,APTIC,APTIC,,,"<ul><li>- lundi matin: 9h-12h / lundi après-midi: 13h-16h<br>
</li><li>- mardi matin: 9h-12h / mardi après-midi: 13h-16h<br>
</li><li>- </li><li>- jeudi matin: 9h-12h / jeudi après-midi: 13h-16h<br>
</li><li>- </li><li>- </li><li>- </li></ul>"
mednumBFC_TL_7_,,5.972169999999999,47.218,4 Avenue du Parc,25000,BESANCON,4 Avenue du Parc 25000 BESANCON,25,D_25,DigiFab,http://digifab.fr/,azouz@digifab.fr,06 77 39 41 45,,,F,Lieux de médiation et de fabrication,APTIC,APTIC,,,
mednumBFC_TL_8_,,5.973622,47.219165999999994,10 rue Pablo Picasso,25000,BESANCON,10 rue Pablo Picasso 25000 BESANCON,25,D_25,Onlineformapro,,,03 84 76 90 83,,,O,Lieux de formation,,,,,"<ul><li>- lundi matin: 8h30-12h / lundi après-midi: 13h30-17h<br>
</li><li>- mardi matin: 8h30-12h / mardi après-midi: 13h30-17h<br>
</li><li>- mercredi matin: 8h30-12h / mercredi après-midi: 13h30-17h<br>
</li><li>- jeudi matin: 8h30-12h / jeudi après-midi: 13h30-17h<br>
</li><li>- vendredi matin: 8h30-12h / vendredi après-midi: 13h30-17h<br>
</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_9_,,6.052119,47.264612,2b chemin de Palente,25000,BESANCON,2b chemin de Palente 25000 BESANCON,25,D_25,Onlineformapro,,,03 84 76 90 83,,,O,Lieux de formation,APTIC,APTIC,,,"<ul><li>- lundi matin: 8h30-12h / lundi après-midi: 13h30-17h<br>
</li><li>- mardi matin: 8h30-12h / mardi après-midi: 13h30-17h<br>
</li><li>- mercredi matin: 8h30-12h / mercredi après-midi: 13h30-17h<br>
</li><li>- jeudi matin: 8h30-12h / jeudi après-midi: 13h30-17h<br>
</li><li>- vendredi matin: 8h30-12h / vendredi après-midi: 13h30-17h<br>
</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_10_,,6.402337,46.834637,52 Grande Rue,25300,LES FOURGS,52 Grande Rue 25300 LES FOURGS,25,D_25,d@vp@il,,,06 77 90 98 95,,,O,Lieux de formation,APTIC,APTIC,,,
mednumBFC_TL_11_,,6.736853999999999,47.480477,41  grande rue,25550,BAVANS,41  grande rue 25550 BAVANS,25,D_25,Association Gestion Actions Socio Culturelles,,,03 81 92 64 25,,,F-I,Lieux de médiation et de fabrication-Lieux d’information et d’accès aux droits,APTIC,APTIC,,,
mednumBFC_TL_12_,,5.571681,46.677747,1025 rue des gentianes,39003,LONS LE SAUNIER,1025 rue des gentianes 39003 LONS LE SAUNIER,39,D_39,Association Maison commune,,,03 84 47 58 15,,,F,Lieux de médiation et de fabrication,APTIC,APTIC,,,
mednumBFC_TL_13_,,5.498227,47.084708,31  rue Julien Feuvrier,39100,DOLE,31  rue Julien Feuvrier 39100 DOLE,39,D_39,Savoirs et formation,,,09 50 48 08 84,,,O,Lieux de formation,APTIC,APTIC,,,"<ul><li>- lundi matin: 9h-12h / lundi après-midi: 12h-18h<br>
</li><li>- mardi matin: 9h-12h / mardi après-midi: 12h-18h<br>
</li><li>- mercredi matin: 9h-12h / mercredi après-midi: 12h-18h<br>
</li><li>- jeudi matin: 9h-12h / jeudi après-midi: 12h-18h<br>
</li><li>- vendredi matin: 9h-12h / vendredi après-midi: 12h-18h<br>
</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_14_,,5.451784,46.802739,5  place du général Michelin,39140,COMMENAILLES,5  place du général Michelin 39140 COMMENAILLES,39,D_39,FabLab Atelier Made in iKi,http://madeiniki.org,,06 28 21 65 77,,,F,Lieux de médiation et de fabrication,APTIC,APTIC,,,"<ul><li>-  / lundi après-midi: 19h30-21h<br>
</li><li>- </li><li>- </li><li>- </li><li>- </li><li>- samedi matin: 9h30-12h</li><li>- </li></ul>"
mednumBFC_TL_15_,,5.909479,46.748612,2 rue de l'égalité,39300,CHAMPAGNOLE,2 rue de l'égalité 39300 CHAMPAGNOLE,39,D_39,FabLab Champagnole,http://www.fablab-champagnole.com/,fablabchampagnole@gmail.com,06 72 21 56 26,,,F-TL,Lieux de médiation et de fabrication-Lieux de travail et de collaborationL,APTIC,APTIC,,,
mednumBFC_TL_16_,,5.45412,46.393877,16  place de la Mairie,39320,VAL SURAN,16  place de la Mairie 39320 VAL SURAN,39,D_39,Association développement Aménagement,,,,,,F,Lieux de médiation et de fabrication,,,,,
mednumBFC_TL_17_,,5.597825,46.868209,13 route de Colonne - LE VISENEY,39800,BERSAILLIN,13 route de Colonne - LE VISENEY 39800 BERSAILLIN,39,D_39,c.la cle administrative,,,06 71 94 67 08,,,F,Lieux de médiation et de fabrication,APTIC,APTIC,,,
mednumBFC_TL_18_,,3.1526490000000003,46.989419,14 bis rue Jeanne d'Arc,58000,NEVERS,14 bis rue Jeanne d'Arc 58000 NEVERS,58,D_58,Conseil départemental de la Nièvre - Service d'accompagnement au numérique,,,06 76 98 70 45,,,I,Lieux d’information et d’accès aux droits,APTIC,APTIC,,,
mednumBFC_TL_19_,,3.143165,46.991958000000004,7 rue du 13ème de ligne,58000,NEVERS,7 rue du 13ème de ligne 58000 NEVERS,58,D_58,Onlineformapro,,,06 43 08 27 49,,,O,Lieux de formation,APTIC,APTIC,,,
mednumBFC_TL_20_,,6.152081,47.637076,19  rue du Praley  Espace de la Motte,70000,VESOUL,19  rue du Praley  Espace de la Motte 70000 VESOUL,70,D_70,Onlineformapro,,,03 84 76 52 44,,,O,Lieux de formation,APTIC,APTIC,,,"<ul><li>- lundi matin: 8h30-12h / lundi après-midi: 13h30-17h<br>
</li><li>- mardi matin: 8h30-12h / mardi après-midi: 13h30-17h<br>
</li><li>- mercredi matin: 8h30-12h / mercredi après-midi: 13h30-17h<br>
</li><li>- jeudi matin: 8h30-12h / jeudi après-midi: 13h30-17h<br>
</li><li>- vendredi matin: 8h30-12h / vendredi après-midi: 13h30-17h<br>
</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_21_,,5.590222,47.447873,6 rue Gambetta,70100,GRAY,6 rue Gambetta 70100 GRAY,70,D_70,Onlineformapro,,,06 43 08 27 49,,,O,Lieux de formation,APTIC,APTIC,,,"<ul><li>- lundi matin: 8h30-12h / lundi après-midi: 13h30-17h<br>
</li><li>- mardi matin: 8h30-12h / mardi après-midi: 13h30-17h<br>
</li><li>- mercredi matin: 8h30-12h / mercredi après-midi: 13h30-17h<br>
</li><li>- jeudi matin: 8h30-12h / jeudi après-midi: 13h30-17h<br>
</li><li>- vendredi matin: 8h30-12h / vendredi après-midi: 13h30-17h<br>
</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_22_,,6.3644940000000005,47.815603,2 rue Lacépède,70300,LUXEUIL LES BAINS,2 rue Lacépède 70300 LUXEUIL LES BAINS,70,D_70,FabLab des 3 lapins,,atelier@fablab3lapins.org,07 69 80 19 48,,,F,Lieux de médiation et de fabrication,APTIC,APTIC,,,
mednumBFC_TL_23_,,5.84702,47.42,9 chemin des Ecoliers,70700,BUCEY-Lès-GY,9 chemin des Ecoliers 70700 BUCEY-Lès-GY,70,D_70,Fablab des Monts de Gy,http://fablab-montsdegy.fr,fablab-montsdegy@gmail.com,07 82 52 94 98,,,F,Lieux de médiation et de fabrication,APTIC,APTIC,,,"<ul><li>- </li><li>- mardi matin: 9h30-11h30</li><li>- mercredi matin: 9h30-11h30 / mercredi après-midi: 14h-17h<br>
</li><li>- jeudi matin: 9h30-11h30</li><li>-  / vendredi après-midi: 17h-20h<br>
</li><li>- samedi matin: 9h-12h</li><li>- </li></ul>"
mednumBFC_TL_24_,,4.831782,46.304775,42 rue tourneloup  Centre d'affaires Tourneloup,71000,MÂCON,42 rue tourneloup  Centre d'affaires Tourneloup 71000 MÂCON,71,D_71,Mon Assistant Numérique Mâcon ( Nicolas Numérique SAS),,,06 42 30 28 63,,,O,Lieux de formation,APTIC,APTIC,,,
mednumBFC_TL_25_,,4.059696,46.599447,place de l'église (entrée quai de l'Europe),71130,GUEUGNON,place de l'église (entrée quai de l'Europe) 71130 GUEUGNON,71,D_71,Syntaxe erreur 2.0,,,03 85 84 22 76,,,F,Lieux de médiation et de fabrication,APTIC,APTIC,,,
mednumBFC_TL_26_,18/05/2020,46.884896000000005,5.261621,15  grande rue,71270,PIERRE DE BRESSE,15  grande rue 71270 PIERRE DE BRESSE,71,D_71,Maison Digitale Tremplin de Pierre en Bresse,www.ateliertremplin.fr,ateliertremplin@yahoo.fr,09 72 87 32 81,,,F,Lieux de médiation et de fabrication,APTIC-RIN,APTIC-RIN,,,"<ul><li>- lundi matin: 9h-12h / lundi après-midi: 12h-18h<br>
</li><li>- </li><li>- mercredi matin: 9h-12h / mercredi après-midi: 12h-18h<br>
</li><li>- jeudi matin: 9h-12h / jeudi après-midi: 12h-18h<br>
</li><li>- </li><li>- </li><li>- </li></ul>"
mednumBFC_TL_27_,,4.730697,46.197181,921 route du Moulin à Vent,71570,ROMANECHE-THORINS,921 route du Moulin à Vent 71570 ROMANECHE-THORINS,71,D_71,SOLUTIONS INGÉNIERIE DIGITAL FORMATION (SID FORMATION),,,06 81 52 74 10,,,O,Lieux de formation,,,,,
mednumBFC_TL_28_,,5.030519,47.316035,11  rue de l'Hôpital,21000,DIJON,11  rue de l'Hôpital 21000 DIJON,21,D_21,Accueil général de la ville et du CCAS de Dijon,,,,,,I,Lieux d’information et d’accès aux droits,DM,Réseau Dijon métropole,,,
mednumBFC_TL_29_,,5.0739529999999995,47.310202000000004,Atheneum. Centre culturel universitaire,21000,DIJON,Atheneum. Centre culturel universitaire 21000 DIJON,21,D_21,Atheneum. Centre culturel universitaire,,,,,,M,Lieux de médiation publique,,,,,
mednumBFC_TL_30_,,5.0415849999999995,47.319187,7 rue de l'école de droit,21000,DIJON,7 rue de l'école de droit 21000 DIJON,21,D_21,Bibliothèque jeunesse,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_31_,,5.043503,47.321138,1 place du théâtre,21000,DIJON,1 place du théâtre 21000 DIJON,21,D_21,Bibliothèque La Nef,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_32_,,5.047603,47.340637,21 rue Balzac,21000,DIJON,21 rue Balzac 21000 DIJON,21,D_21,Bibliothèque Maladière,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_33_,,5.057337,47.307995,2 boulevard Mansart,21000,DIJON,2 boulevard Mansart 21000 DIJON,21,D_21,Bibliothèque Mansart,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_34_,,5.043198,47.319228,3 rue de l'école de droit,21000,DIJON,3 rue de l'école de droit 21000 DIJON,21,D_21,Bibliothèque Patrimoniale et d'études,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_35_,,5.042764,47.325482,Rue Mère Javouhey,21000,DIJON,Rue Mère Javouhey 21000 DIJON,21,D_21,CCAS / Maison des seniors,,,,,,I,Lieux d’information et d’accès aux droits,DM,Réseau Dijon métropole,,,
mednumBFC_TL_36_,,5.0561110000000005,47.301346,26 rue du Commandant Abrioux,21000,DIJON,26 rue du Commandant Abrioux 21000 DIJON,21,D_21,CCAS / Résidence Abrioux,,,,,,I,Lieux d’information et d’accès aux droits,DM,Réseau Dijon métropole,,,
mednumBFC_TL_37_,,5.030519,47.316035,11 rue de l'hôpital,21000,DIJON,11 rue de l'hôpital 21000 DIJON,21,D_21,CCAS / Service des interventions sociales,,,,,,I,Lieux d’information et d’accès aux droits,DM,Réseau Dijon métropole,,,
mednumBFC_TL_38_,,5.069047,47.329679999999996,14  rue Camille Claudel,21000,DIJON,14  rue Camille Claudel 21000 DIJON,21,D_21,Centre multimédia des grésilles,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_39_,,5.063669,47.331768,3-5 rue Jean XXIII,21000,DIJON,3-5 rue Jean XXIII 21000 DIJON,21,D_21,Centre social des Grésilles,,,,,,I,Lieux d’information et d’accès aux droits,DM,Réseau Dijon métropole,,,
mednumBFC_TL_40_,,5.035282,47.326440999999996,5  rue des fleurs,21000,DIJON,5  rue des fleurs 21000 DIJON,21,D_21,Cercle Laïque Dijonnais,,,,,,F,Lieux de médiation et de fabrication,,,,,
mednumBFC_TL_41_,,5.048849,47.327765,12  boulevard Clémenceau,21000,DIJON,12  boulevard Clémenceau 21000 DIJON,21,D_21,eb-Lab Co-working,,,,,,T,Lieux de travail et de collaboration,,,,,
mednumBFC_TL_42_,,5.042991000000001,47.350615999999995,27  avenue Charles Baudelaire,21000,DIJON,27  avenue Charles Baudelaire 21000 DIJON,21,D_21,Espace Baudelaire,,,,,,F,Lieux de médiation et de fabrication,DM,Réseau Dijon métropole,,,
mednumBFC_TL_43_,,5.050782,47.328590999999996,2  avenue de Marbotte,21000,DIJON,2  avenue de Marbotte 21000 DIJON,21,D_21,Espace Numérique Professionnel - CCI21,,,,,,M,Lieux de médiation publique,,,,,
mednumBFC_TL_44_,,5.031579,47.315282,2  rue des Corroyeurs,21000,DIJON,2  rue des Corroyeurs 21000 DIJON,21,D_21,Kelle Fabrik,https://kellefabrik.org/,kellefabrik@gmail.com,06 74 71 17 77,,,F-TL,Lieux de médiation et de fabrication-Lieux de travail et de collaborationL,,,,,
mednumBFC_TL_45_,,5.068101,47.332724,33 place Galilée,21000,DIJON,33 place Galilée 21000 DIJON,21,D_21,La Coursive Boutaric,https://www.la-coursive.fr/,contact@la-coursive.fr,03 73 13 10 21,,,F-TL,Lieux de médiation et de fabrication-Lieux de travail et de collaborationL,,,,,
mednumBFC_TL_46_,,5.008154,47.319111,2 allée de Grenoble,21000,DIJON,2 allée de Grenoble 21000 DIJON,21,D_21,La Maison-Phare,,,,,,F,Lieux de médiation et de fabrication,-DM,-Réseau Dijon métropole,,,
mednumBFC_TL_47_,,5.040214,47.323159000000004,6  impasse Quentin,21000,DIJON,6  impasse Quentin 21000 DIJON,21,D_21,L'Abscisse,https://fablab.coagul.org/Accueil,,,,,F-TL,Lieux de médiation et de fabrication-Lieux de travail et de collaborationL,,,,,
mednumBFC_TL_48_,,5.041164,47.301142,21  rue Maurice Ravel,21000,DIJON,21  rue Maurice Ravel 21000 DIJON,21,D_21,Le Tempo,,,,,,F,Lieux de médiation et de fabrication,,,,,
mednumBFC_TL_49_,,5.038086,47.322238,67 rue des Godrans,21000,DIJON,67 rue des Godrans 21000 DIJON,21,D_21,Le Village by CA Champagne-Bourgogne,https://www.levillagebyca.com/fr/node/14699,,,,,T-TL,Lieux de travail et de collaboration-Lieux de travail et de collaborationL,,,,,
mednumBFC_TL_50_,,5.078323,47.315034999999995,64E  rue Sully,21000,DIJON,64E  rue Sully 21000 DIJON,21,D_21,Les Docks Numériques,https://www.lesdocks.net/,contact@lesdocks.net,,,,T-TL,Lieux de travail et de collaboration-Lieux de travail et de collaborationL,,,,,
mednumBFC_TL_51_,,5.052016,47.350673,10 bis place Granville,21000,DIJON,10 bis place Granville 21000 DIJON,21,D_21,Mairie de quartier Toison d'or,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_52_,,5.065462,47.331255,6 avenue des Grésilles,21000,DIJON,6 avenue des Grésilles 21000 DIJON,21,D_21,Mairie de quartier des Grésilles,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_53_,,5.003103,47.319288,13 place de la fontaine d'ouche,21000,DIJON,13 place de la fontaine d'ouche 21000 DIJON,21,D_21,Mairie de quartier Fontaine d'Ouche,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_54_,,5.057337,47.307995,2 boulevard Mansart,21000,DIJON,2 boulevard Mansart 21000 DIJON,21,D_21,Mairie de quartier Mansart,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_55_,,5.069047,47.329679999999996,14 rue Camille Claudel,21000,DIJON,14 rue Camille Claudel 21000 DIJON,21,D_21,Médiathèque Champollion,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_56_,,5.024484999999999,47.314058,Place des Mariniers,21000,DIJON,Place des Mariniers 21000 DIJON,21,D_21,Médiathèque Port du canal,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,
mednumBFC_TL_57_,,5.037008999999999,47.324065999999995,8 rue du Temple,21000,DIJON,8 rue du Temple 21000 DIJON,21,D_21,Mission Locale de l'arrondissement de Dijon,mldijon.asso.fr,miloarrondissementdijon@milobfc.fr,03 80 44 91 44,,,I,Lieux d’information et d’accès aux droits,,,,,
mednumBFC_TL_58_,,5.047603,47.340637,21-25 rue Balzac,21000,DIJON,21-25 rue Balzac 21000 DIJON,21,D_21,MJC-Centre social Balzac-Maladière,,,,,,F-I,Lieux de médiation et de fabrication-Lieux d’information et d’accès aux droits,DM,Réseau Dijon métropole,,,
mednumBFC_TL_59_,,5.015599,47.308963,31 boulevard Eugène Fyot,21000,DIJON,31 boulevard Eugène Fyot 21000 DIJON,21,D_21,MJC-Centre social des Bourroches,,,,,,F-I,Lieux de médiation et de fabrication-Lieux d’information et d’accès aux droits,DM,Réseau Dijon métropole,,,
mednumBFC_TL_60_,,5.037763,47.331512,1 ter rue de Beaune,21000,DIJON,1 ter rue de Beaune 21000 DIJON,21,D_21,MJC-Centre social Montchapet,,,,,,F-I,Lieux de médiation et de fabrication-Lieux d’information et d’accès aux droits,DM,Réseau Dijon métropole,,,
