francilin_id,lieu_nom,contact_nom,adresse,code_postal,commune,horaires,telephone,e_mail,site_web,aide,accessibilite,label,SIRET,thematique_principale,services,source,id_source
1,Médi@Bus,,,93600,Aulnay-sous-Bois,Fr 09:45-12:30,0158039222,bibmediabus@aulnay-sous-bois.com,https://www.aulnay-sous-bois.fr/mes-loisirs/culture/reseau-des-bibliotheques/mediabus/,"1,2",,,,2,"202,203,204,205,206",CD93,172
2,Bibliothèque Elsa Triolet,Laurène Pain-Prado,4 rue de l'union,93000,Bobigny,"Tu,Th 15:00-19:00, We 10:00-12:00,14:00-18:00, Fr 12:00-18:00, Sa 10:00-17:00",0148952056,laurene.pain-prado@ville-bobigny.fr,,"1,2,3",,,,3,"319,321,335,111,113,203,209",CD93,34
3,Bibliothèque Emile Aillaud,Laurène Pain-Prado,60 avenue Edouard Vaillant,93000,Bobigny,"Tu 10:00-12:00,15:00-19:00, We 10:00-12:00,14:00-18:00, Fr 15:00-18:00, Sa 10:00-17:00",0148478117,laurene.pain-prado@ville-bobigny.fr,,"1,2",,,,5,"519,701",CD93,40
4,Mission Locale Mire,Lydia Chevallier,5 rue de la Gaité,93000,Bobigny,"Mo-Th 08:45-12:30,13:45-17:30; Fr 14:00-16:30",0148969989,,,"1,2",,,,1,"110,111,112,113,114,116,401,402,404,405,407,203,204,205,206,207,209,215",CD93,23
5,Bibliothèque Colonel Fabien,,118 Av du Colonel Fabien,93100,Montreuil,"Tu,Fr 15:00-18:00, We 10:00-12:00,14:00-18:00, Sa 10:00-13:00,14:00-17:00",0148576441,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,1,,,,3,,CD93,166
6,Bibliothèque Daniel Renoult,,22 place Le Morillon,93100,Montreuil,"Tu,Fr 15:00-18:00, We 10:00-12:00,14:00-18:00, Sa 10:00-13:00,14:00-17:00",0148547717,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,1,,,,3,,CD93,165
7,Bibliothèque de quartier Paul Éluard,,10 rue Valette,93100,Montreuil,"Tu,Fr 15:00-18:00; We 10:00-12:00,14:00-18:00; Sa 10:00-13:00,14:00-17:00",0148576656,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,1,,,,8,813,CD93,164
8,Bibliothèque Robert Desnos,,14 boulevard Rouget de l'isle,93100,Montreuil,"Tu 12:00-20:00; We,Sa 10:00-18:00; Th,Fr 14:00-19:00",0148706904,bibliotheques.montreuil@est-ensemble.fr,http://www.bibliotheque-montreuil.fr,"1,2,3",,,,3,333,CD93,163
9,Café la Pêche,Lahsen El Bouhali,16 rue Pépin,93100,Montreuil,"Mo-Fr 09:00-12:00,13:45-17:30",0171862900,communication@lapechecafe.com,,1,,,,3,,CD93,76
10,Centre Social / Maison de Quartier Esperanto,Edwige Lajon,14 Allée Rolland Martin,93100,Montreuil,"Mo-Fr 09:00-12:15,14:00-18:00; Tu 14:00-18:00",0171892520,edwige.lajon@montreuil.fr,http://www.montreuil.fr/fileadmin/user_upload/Files/actualites_fichiers/2017/08_aout/Esperanto-Plaquette2017-2018-HD.pdf,"1,2,3",,,,2,"333,205,209,",CD93,70
