"ID Exporter les données","Exporter les données","Horodateur","Nom SP","Statut","EPN","Nature","Ouverture","Mail SP","Adresse SP","CP","Commune","Tél SP","Site SP","Accès équipement","Type équipement","Fixe mobile équipement","Lieu mobilité équipement","Conditions accès équipement","Coût accès équipement","Horaires équipement","Médnum","Compétences médnum","Fixe mobile médnum","Lieu mobilité médnum","Conditions accès médnum","Accompagnement médnum","Coût accès médnum","Fréquence médnum","Horaires médnum","Démarches","Démarches spécifiques","Type démarches","Fixe mobile démarches","Lieu mobilité démarches","Conditions accès démarches","Accompagnement démarches","Coût accès démarches","Fréquence démarches","Horaires démarches","Stockage","Coût stockage","vente matériel","typé vente matériel","connaissance aptic","intéréssée aptic","connaissance picto","intéréssée picto","Publics spécifiques","Publics","Territoire","Quel territoire","PMR","Transports en commun","Collaboration","Autres structures partenaires","Autres offres","chéques APTIC","LIEN PICTO aptic","LIEN PICTO ACCES","PICTO","Latitude","Longitude"
"1","Centre Communal d'Action Sociale (CCAS) d'Amiens","2018","Centre Communal d'Action Sociale (CCAS) d'Amiens","Public","Non","Centre social","","","10 rue Gresset","80000","Amiens","","","Oui","Coffre-fort numérique : Outil individuel qui permet d’archiver et de sécuriser des fichiers numériques tels que des documents personnels et administratifs, des contrats, des factures, des relevés etc. : pour conserver et accéder rapidement et simplement à ses fichiers seulement avec une connexion Internet.","Dans un lieu d'accueil fixe","","","Gratuit","","Non","","","","","","","","","Non","","","","","","","","","","Oui","Gratuit","Non","","","","","","","Usagers et travailleurs sociaux","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto1.png","49,912065","2,24187"
"5","CAF Somme","2018","CAF Somme","Privé","Non","Organisme de sécurité sociale (CAF, CPAM, CARSAT, MSA...)","Du lundi au vendredi : 09:00-12:00 et 14:00-16:30 / Samedi : 09:00-12:00","sabrina.rimbault@cafsomme.cnafmail.fr","9 Boulevard Maignan Larivière","80000","Amiens","","https://www.caf.fr/","Oui","Ordinateurs disponibles dans les locaux de la CAF pour les démarches en ligne","Dans un lieu d'accueil fixe","","","Gratuit","","Oui","La CAF Somme propose aux familles allocataires avec un quotient familial inférieur à 800 de bénéficier d'un prêt à taux 0 pour acheter du matériel informatique.","","","","","","","","Oui","","Accompagnement aux démarches en ligne CAF","","","Accès libre","Individuel","Gratuit","","","Non","","Oui","matériel informatique","","","","","","Familles allocataires avec quotient familial (QF) inférieur à 800","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","49,889914","2,293438"
"10","Point d'accueil numérique - Sous-Préfecture de Béthune","2018","Point d'accueil numérique - Sous-Préfecture de Béthune","Public","Non","Administration - Collectivité territoriale","Du lundi au vendredi : 09:00-12:00 et 13:30-16:00","","181 rue Gambetta","62400","Béthune","","http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures","Oui","Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","","Dans un lieu d'accueil fixe","","Tout public","Individuel","","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,532898","2,637291"
"11","Point d'accueil numérique - Sous-Préfecture de Boulogne-sur-Mer","2018","Point d'accueil numérique - Sous-Préfecture de Boulogne-sur-Mer","Public","Non","Administration - Collectivité territoriale","Du lundi au vendredi : 08:00-11:30 et 13:30-16:00","","131 Grand Rue","62321","Boulogne-sur-Mer","","http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures","Oui","Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","","Dans un lieu d'accueil fixe","","Tout public","Individuel","","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,725064","1,610424"
"12","Point d'accueil numérique - Sous-Préfecture de Calais","2018","Point d'accueil numérique - Sous-Préfecture de Calais","Public","Non","Administration - Collectivité territoriale","Du lundi au vendredi : 08:45-11:45 et 13:30-15:45","","9 Esplanade Jacques Vendroux","62107","Calais","","http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures","Oui","Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","","Dans un lieu d'accueil fixe","","Tout public","Individuel","","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,957195","1,845311"
"13","Point d'accueil numérique - Sous-Préfecture de Lens","2018","Point d'accueil numérique - Sous-Préfecture de Lens","Public","Non","Administration - Collectivité territoriale","Du lundi au vendredi : 08:30-11:45 et 13:30-16:30","","25 rue du 11 novembre","62307","Lens","","http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures","Oui","Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","","Dans un lieu d'accueil fixe","","Tout public","Individuel","","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,43086","2,823339"
"14","Point d'accueil numérique - Sous-Préfecture de Montreuil-sur-Mer","2018","Point d'accueil numérique - Sous-Préfecture de Montreuil-sur-Mer","Public","Non","Administration - Collectivité territoriale","Du lundi au vendredi : 09:00-12:30 et 13:30-16:00","","7-9-11 rue d'Hérambault","62170","Montreuil-sur-Mer","","http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures","Oui","Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","","Dans un lieu d'accueil fixe","","Tout public","Individuel","","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,4637","1,761754"
"15","Point d'accueil numérique - Sous-Préfecture de Saint-Omer","2018","Point d'accueil numérique - Sous-Préfecture de Saint-Omer","Public","Non","Administration - Collectivité territoriale","Du lundi au vendredi : 09:00-12:00 et 14:00-16:00","","41 rue Saint Bertin","62504","Saint-Omer","","http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures","Oui","Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures","Dans un lieu d'accueil fixe","","Sur rendez-vous","Gratuit","","Non","","","","","","","","","Oui","","","Dans un lieu d'accueil fixe","","Tout public","Individuel","","","Sur rendez-vous","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,748854","2,257797"
"16","Ville de Fourmies/Le L@bo, coeur numérique","2018","Ville de Fourmies/Le L@bo, coeur numérique","Public","Non","Tiers-lieu & coworking, FabLab","Mardi : 09:30-22:00 / Du mercredi au samedi : 09:30-18:00","le-labo@fourmies.fr","Parking du Théâtre Jean Ferrat","59610","Fourmies","09 67 16 04 81","http://le-labo.fourmies.fr/","Oui","Le L@bo, Cœur numérique de Fourmies, propose quatre espaces : un FabLab ; un espace de co-working ; une salle de réunion connectée et un espace détente. Le L@bo souhaite faire découvrir les nouvelles technologies à tous les publics, et pour tous les niveaux.","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Oui","Des ateliers et des formations sont proposés aux débutants pour découvrir l'outil informatique","Dans un lieu d'accueil fixe","","Sur inscription","accompagnement personnalisé sur demande","Payant","","","Non","","","","","","","","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto12.png","50,024628","4,035347"
"18","Communauté d'Agglomération Maubeuge - Val de Sambre /Fablab de la Gare numérique","2018","Communauté d'Agglomération Maubeuge - Val de Sambre /Fablab de la Gare numérique","Public","Non","Administration - Collectivité territoriale","Lundi : 08:30-12:15 et 13:30-16:15 / Du mardi au vendredi : 08:30-12:15 et 13:30-17:00 / Samedi : 09:00-12:00","","Place de la Gare","59460","Jeumont","03 27 60 16 39","http://www.mairie-jeumont.fr/site/2015/10/28/fablab/","Oui","La Fabrique créative (FABLAB) fait bénéficier ses nombreux équipements au public : découpeuse laser, imprimante 3D, fraiseuse et tour à commande numérique, arduino (microcontrôleur), Rasperi pi (nano-ordinateur), Robot Nao, drones etc.","Dans un lieu d'accueil fixe","","Accès libre","Payant (Le coût est d'environ 5 euros par heure sur machine.)","","Oui","Des ateliers et des formations sont proposés aux débutants pour découvrir l'outil informatique","Dans un lieu d'accueil fixe","","Sur inscription","individuel","Gratuit","","","Non","","","","","","","","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto12.png","50,297308","4,086959"
