Num;Nom de votre structure;Nature de votre structure;Adresse e-mail de votre structure;Numéro de téléphone de votre structure;Site internet de votre structure;Numéro de rue;Nom de rue;Code postal;Ville;Accompagnez-vous des publics spécifiques?;Quel type d'accompagnement ?;Quels sont les horaires;Quelles sont les conditions d'accès à vos services ? (adhésion préalable, prise de rdv,...);Quels sont les tarifs appliqués ?;Quel(s) service(s) proposez-vous?;Quel type d'équipement est en accès libre ?;Dans quel(s) domaine(s) proposez-vous une assistance ?;Quelles actions de formation et/ou d'accompagnement proposez-vous ?;Précision et complément d'information sur vos actions de formation et/ou d'accompagnement ?;;Présentation sommaire de votre structure (max 200 caractères);Présentation globale de l'implication de votre structure en matière d'inclusion numérique (max 200 caractères)
1;SYLLABE;plate forme d'accueil, d'évaluation, d'orientation vers opérateurs de formation;accueil.syllabe@orange.fr;553878467;;145;avenue Henri Barbusse;47000;AGEN  mais aussi à Villeneuve, Ste Livrade, Marmande,Tonneins, Nérac et Fumel, M;Tout public;Individuel;"tous les jours, 9h -12h30; 14h - 18h";prise de rendez-vous;gratuité;Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
2;AGIR PLUS;Organisme de formation;formation@agirplus47.com;553654536;;35;rue Laribère;47600;NERAC;Tout public;Individuel, Collectif;8h30-12h30 et 13h30-16h30;prise de rendez-vous ;10 €;Diagnostic des besoins numériques, Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);;;Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;;
3;ass Vivre Mieux Ensemble (centre social);Association;accueil@vivremieruxensemble.9pass.net;553482260;;1;place matteo bandello;47130;Port Sainte Marie;Tout public;Individuel, Collectif;lundi, mardi, jeudi et vendredi après-midi;prise de rendez-vous;photocopie payante;Accés libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable), Scanner;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;;
4;Espace Numérique de Villeréal;Association;gacv47@gmail.com;553017816;;53;St James;47210;Villeréal;Tout public, Bénéficiaires du RSA, Personnes en recherche d'emploi, associations;Individuel;mardi - mercredi - vendredi 9h30 -12h30 et 14h-17h - jeudi et samedi 9h30-12h30;adhésion pour les associations;voir sur place - tarif préférentiel pour les associations, les demandeurs d'emploi et les étudiants sur présentation d'un justificatif;Accés libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), publicité, cartes, bureautique... pour les associations et particuliers;Ordinateur (fixe ou portable), Imprimante, Scanner, Connexion WIFI;aides aux démarches sur Iternet - point relais numérique Caf;Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;;
5;Association Convergence;Association;convergence.bvef@gmail.com;553492510;https://www.facebook.com/ConvergenceFumel/;;Rue du Chemin rouge;47500;Fumel;Tout public, Allocataires CAF et futurs allocataires;Individuel, Collectif;Lundi à Vendredi 9h-12h / 14h-17h;Pas de conditions particulières pour le Point numérique CAF / pour participer à notre atelier Initiation à l'informatique adhésion demandée (jeudi de 10h à 11h30);Adhésion annuelle de 15€ pour un adulte, 10€ pour un mineur, demandeur d'emploi ou bénéficiaire du RSA;Accés libre au matériel informatique, Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante, Scanner, Connexion WIFI;;Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;;
6;CO-CLIC-CO;Association;coworking.serignac@gmail.com;972564275;https://www.coworking47-co-clic-co.com/;2356;avenue des Landes;47310;Sérignac Sur Garonne;Tout public;Individuel;lundi, mardi, jeudi : 9h-12h30 13h-17h30 et Vendredi 8h30-12h30;Gratuit pour les habitants de la commune;une adhésion de 15 euros ou 5 euros la démarche pour les autres communes;Accés libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), démarche administrative dématérialisée (ants, impôts, service public);Ordinateur (fixe ou portable), Imprimante, Scanner, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Social (Allocations familiales, RSA...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;;
7;MFR du Néracais-Barbaste;Organisme de formation;mfr.barbaste@mfr.asso.fr;553655606;mfrdebarbaste.fr;200;Moulin Neuf;47230;Barbaste;Tout public;Collectif;Du lundi au vendredi de 8h00 à 17h30;Adhésion à l'association, prise de rdv obligatoire;A construire selon la demande;Accés libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager), Découverte de l'outil numérique;Ordinateur (fixe ou portable), Imprimante;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;;
8;AIM47;Association;aim47@free.fr;553641493;aim47.free.fr;1113;ave joliot curie;47800;miramont de guyenne;Tout public;Individuel;samedi 14 à 16h;adhésion;50€ par an;Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable);;Découverte des compétences numériques de base;;J’accepte les présentes Conditions Générales d'utilisation.;;
9;Bureau Information Jeunesse;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);bij@ville-ste-livrade47.fr;553014798;;;7 avenue René BOUCHON;47110;Sainte Livrade sur Lot;Moins de 26 ans, Personnes en recherche d'emploi;Individuel;Ouvert tous les jours de la semaine de 9h00 à 12h00 et de 14h00 à 18h00 (sauf le mardi après-midi et le jeudi matin);Sans rendez-vous;Service public gratuit;Accés libre au matériel informatique, Conseil et orientation vers un partenaire, Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable);Emploi (Recherche d'emploi, création d'entreprise...);Insertion professionnelle (CV, emploi store, recherche d'emploi...);Accompagnement individuel basé uniquement sur l'emploi, la scolarité, la formation;J’accepte les présentes Conditions Générales d'utilisation.;;
10;Association Lou Veratous;Association;louveratous@gmail.com;973175230;louveratous.com;;place Dubarry;47600;Moncrabeau;Tout public, Plus de 60 ans;Individuel;vendredi de 10h à 12h;adhésion à l'association;adhésion annuelle de 10 euros - aide numérique gratuite;Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Connexion WIFI;Loisir (Culture, sport, vie associative...), outil internet;Découverte des compétences numériques de base;;J’accepte les présentes Conditions Générales d'utilisation.;;
