latitude;longitude;altitude;geometry;MATRICULE;DEPARTEMENT;lib_france_services;ADRESSE;COMPLEMENT.D.ADRESSE;insee_com;code_postal;lib_com;COMMUNE;LATITUDE;LONGITUDE;CONTACT.MAIL;TELEPHONE;h_lundi;h_mardi;h_mercredi;h_jeudi;h_vendredi;h_samedi;Commentaire.horaires;ITINERANCE;FORMAT_FS;X._groupe;Groupe;Goupe_France_Services_responsable;Goupe_Antennes;Labellisation;categorie
46.105747;5.825644;;Point;1;1;Valserhône;5-9 Rue des Papetiers Bellegarde sur Valserine;;01033;01200;Valserhône;VALSERHÔNE;46.105747;5.825644;franceservices@ccpb01.fr;04 50 56 87 49;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
44.031548;2.535661;;Point;71;12;Réquista « Le Bercail »;7 avenue Vallée du Tarn;;12197;12170;Réquista;REQUISTA;44.031548;2.535661;lebercail@requistanais.com;05 65 43 68 64;10:00 - 13:00 / Après-midi sur RDV;10:00 - 13:00 / Après-midi sur RDV;10:00 - 13:00 / Après-midi sur RDV;10:00 - 13:00 / Après-midi sur RDV;10:00 - 13:00 / Après-midi sur RDV;10:00 - 13:00;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
44.475185;2.459308;;Point;72;12;Conques-Marcillac;28 avenue Gustave Bessière;La Maison du Territoire;12138;12330;Marcillac-Vallon;MARCILLAC VALLON;44.475185;2.459308;franceservices@cc-conques-marcillac.fr;05 65 71 34 36;13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
49.2914;0.197488;;Point;82;14;Terre d’Auge;9 rue de l 'hippodrome;;14514;14130;Pont-l'Évêque;PONT L EVEQUE;49.2914;0.197488;dgs@terredauge.fr;02 52 56 98 34;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / Sur RDV;9:00 - 12:30 / 13:30 - 17:00;-;;;Espace labellisé;20;PI14;;;Espace labellisé 01/2020;FS
49.126169;-0.21511;;Point;89;14;Val ès Dunes;10 rue Léonard Gille;;14057;14370;Bellengreville;BELLENGREVILLE;49.126169;-0.21511;msap@valesdunes.fr;02 31 23 68 08;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;-;;;Espace labellisé;20;PI14;;;Espace labellisé 01/2020;FS
44.708142;2.500459;;Point;98;15;Hotel Numérique de Montsalvy;25 Rue du Tour de Ville;;15134;15120;Montsalvy;MONTSALVY;44.708142;2.500459;msp.montsalvy@chataigneraie15.fr;04 71 49 64 37;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30;-;;;Espace labellisé;;;;;Espace labellisé 02/2020;FS
45.396117;0.130144;;Point;106;16;Montmoreau;35 avenue d'aquitaine;;16230;16190;Montmoreau;MONTMOREAU ST CYBARD;45.396117;0.130144;d.sakton@ccltd.fr;05 45 24 08 79;9:15 - 12:15 / 14:00 - 16:00;9:15 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
45.312713;0.251499;;Point;109;16;Saint-Séverin;16, Rue du Périgord;;16350;16390;Saint-Séverin;ST SEVERIN;45.312713;0.251499;s.favrais@ccltd.fr;05 45 98 19 07;9:15 - 12:00 / 13:30 - 16:00;9:15 - 12:00 / 13:30 - 16:00;9:00 - 12:00;9:15 - 12:00 / 13:30 - 16:00;9:15 - 12:00 / 13:30 - 16:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
45.282004;-0.396837;;Point;111;17;La Maison Pop’;11 avenue de la gare;;17240;17130;Montendre;MONTENDRE;45.282004;-0.396837;lam.montendre@wanadoo.fr;05 46 70 43 67;9:00 - 12:00 / 14:00 - 17:00;14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
45.822826;-1.109971;;Point;112;17;MIS Maison des Initiatives Marennes;22-24 Rue Dubois Meynardie;;17219;17320;Marennes-Hiers-Brouage;MARENNES HIERS BROUAGE;45.822826;-1.109971;accueil.mis@marennes-oleron.com;05 79 86 01 50;9:00 - 13:00 / 14:00 - 18:00;08:45 - 12:30 / 14:00 - 17:30;8:45 - 12:30 / 14:00 - 17:30;8:45 - 12:30 / 14:00 - 17:30;9:00 - 12:00 / 13:00 - 16:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
