modele,fichier,commentaire
_meta_source,Aidants Connect,
_meta_nom,Lieux en ligne,
_meta_fichier_chemin,"data/aidants_connect/BDD Lieux en ligne 2020-05-26.csv",
_meta_fichier_separateur,",",
_meta_url,,
_meta_lieu_id,,
_meta_lieu_date_maj,,
nom,nom,
structure_porteuse,structure porteuse,
description,description,
type_lieu,,
statut,,
nature_juridique,legal_entity_type,
siret,,
adresse_brut,,
adresse_numero,,"(laisser vide, sera généré automatiquement par le script)"
adresse_rue,,"(laisser vide, sera généré automatiquement par le script)"
adresse_code_postal,,"(laisser vide, sera généré automatiquement par le script)"
adresse_code_insee,,"(laisser vide, sera généré automatiquement par le script)"
adresse_commune,,"(laisser vide, sera généré automatiquement par le script)"
adresse_departement,,"(laisser vide, sera généré automatiquement par le script)"
adresse_region,,"(laisser vide, sera généré automatiquement par le script)"
latitude,,"(laisser vide, sera généré automatiquement par le script)"
longitude,,"(laisser vide, sera généré automatiquement par le script)"
itinerant,,
en_ligne,en ligne,
contact_telephone,contact_phone,
contact_telephone_details,contact_phone_details,
contact_email,,
contact_web,contact_website_url,
contact_facebook,,
horaires_ouverture_brut,horaires,
horaires_ouverture_osm,,"(laisser vide, sera généré automatiquement par le script)"
public_cible,public cible,
modalites_acces,,
modalites_accompagnement,,
tarifs,,
accessibilite,,
services,services proposés,
labels,,
