CODE_LIEU,CODE_TYPE,REF,NOM,SIGLE,STRUCT_ACC,GEPN,CRANT,STATUT,N_VOIE,N_VOIE_COM,TYPE_VOIE,NOM_VOIE,COMPLEMENT,LIEU_DIT,DPT,REGION_1,PAYS,CP_NV,COMMUNE_NV,INSEE_NV,TEL,COURRIEL,WEB,VISIBLE
EPN 14046-22,EPN,14046-22,EPN - Bayeux-Argouges,,Espace Argouges,[14046] Mairie de Bayeux,CRANT de la Prairie Caen,en cours de labellisation,48,bis,rue,de Beauvais,,,Calvados,Normandie,France,14400,Bayeux,"14047",02 31 92 11 08,epn@mairie-bayeux.fr,https://www.bayeux.fr/fr/culture/espace-public-numerique,
EPN 14078-143,EPN,14078-143,EPN Cyberbase - Les motordus,,Médiathèque de Blainville-sur-Orne,[14078] Mairie de Blainville-sur-Orne,CRANT de la Prairie Caen,labellisé,5,,rue,du général Leclerc,Esplanade Colbert,,Calvados,Normandie,France,14550,Blainville-sur-Orne,"14076",02 31 06 02 06,mediatheque@blainville-sur-orne.fr,http://blainville.opac3d.fr,O
EPN 14011-26,EPN,14011-26,EPN - AMVD,,Association Mieux Vivre et Détente (AMVD),[14011] AMVD,CRANT de la Prairie Caen,labellisé,60,,place,Champlain,,,Calvados,Normandie,France,14000,Caen,"14118",02 31 93 10 80,epn@amvd.fr,http://www.amvd.fr,O
EPN 14007-9,EPN,14007-9,EPN - Bb du Centre Ville - Alexis de Tocqueville,BAT,Bibliothèque centrale de Caen,[14007] CU - Caen la Mer,CRANT de la Prairie Caen,labellisé,15,,quai,François Mitterand,,,Calvados,Normandie,France,14000,Caen,"14118",02 31 30 47 00,bibliotheque.caen@caenlamer.fr,http://bibliotheques.caenlamer.fr/caen-bibliotheque-alexis-de-tocqueville.aspx,O
EPN 14007-20,EPN,14007-20,EPN - Bb de la Grâce de Dieu - Point multimédia,,Bibliothèque de la Grâce de Dieu,[14007] CU - Caen la Mer,CRANT de la Prairie Caen,labellisé,8,,esplanade,André Malraux,,,Calvados,Normandie,France,14000,Caen,"14118",02 14 37 29 82,bibliotheque.gracededieu@agglo-caen.fr,http://bibliotheques.caenlamer.fr/caen-bibliotheque-grace-de-dieu-accueil.aspx,O
EPN 14007-19,EPN,14007-19,EPN - Bb Pierre Heuzé - Point multimédia,,Bibliothèque de la Pierre Heuzé,[14007] CU - Caen la Mer,CRANT de la Prairie Caen,labellisé,17,,place,Champlain,,,Calvados,Normandie,France,14000,Caen,"14118",02 14 37 29 81,bibliotheque.pierreheuze@agglo-caen.fr,http://bibliotheques.caenlamer.fr/caen-bibliotheque-pierre-heuze-accueil.aspx,O
EPN 14007-17,EPN,14007-17,EPN - Bb Chemin Vert - CyberEspace,,Bibliothèque du Chemin Vert,[14007] CU - Caen la Mer,CRANT de la Prairie Caen,labellisé,6,,rue,Jean Racine,,,Calvados,Normandie,France,14000,Caen,"14118",02 14 37 29 87,bibliotheque.cheminvert@agglo-caen.fr,http://bibliotheques.caenlamer.fr/default/caen-bibliotheque-chemin-vert-accueil.aspx,O
EPN 14082-184,EPN,14082-184,EPN - Centre d'animation CAF La Folie Couvrechef,,Centre d'animation La Folie Couvrechef,[14082] CAF du Calvados,CRANT de la Prairie Caen,labellisé,3,,rue,des Acadiens,,,Calvados,Normandie,France,14000,Caen,"14118",02 31 44 06 95,,https://www.caf.fr/allocataires/caf-du-calvados/points-d-accueil/centre-municipal-d-animation-caen-folie,
EPN 14016-31,EPN,14016-31,EPN - La Prairie,,Centre d'Animation La Prairie Caen,[14016] CA La Prairie - Caen,CRANT de la Prairie Caen,labellisé,11,,avenue,Albert Sorel,,,Calvados,Normandie,France,14000,Caen,"14118",02 31 85 25 16,julien.epnlaprairie@gmail.com,http://www.la-prairie.com/activite/informatique/,O
EPN 14017-30,EPN,14017-30,EPN - Tandem,Tandem,Centre d'Animation Tandem,[14017] Centre d'Animation Tandem,CRANT de la Prairie Caen,labellisé,8,,rue,Nicolas Oresme,,,Calvados,Normandie,France,14000,Caen,"14118",02 31 29 54 54,info@caentandem.com,http://www.caentandem.com,O
